id,status,title,slug,word_count,links,external_links,has_thumb,thumb_alt,en_name,focus,desc
2328,publish,اروین شرودینگر؛ مردی که جهان را موج کرد,erwin-schrodinger,1022,17,2,True,,Erwin Schrödinger,اروین شرودینگر,معادلهٔ او فیزیک اتمی قرن بیستم را بنیان نهاد و گربه‌اش نماد بحثی شد که خودش نمی‌پذیرفت. روایت زندگی پرماجرای مردی که جهان را موج کرد اما هرگز با دریای خودش آشتی نکرد.
2329,publish,ورنر هایزنبرگ؛ جوانی که عدم قطعیت را کشف کرد,werner-heisenberg,830,13,2,True,,Werner Heisenberg,ورنر هایزنبرگ,در ۲۳سالگی مکانیک ماتریسی را ساخت و در ۲۵سالگی گفت همه‌چیز را نمی‌شود با هم دانست؛ اصل عدم قطعیت. قصهٔ نابغه‌ای که در کشوری به‌سوی جنگ، سخت‌ترین انتخاب یک دانشمند را تجربه کرد.
2330,publish,ماکس بورن؛ مترجم احتمال در کوانتوم,max-born,844,12,2,True,,Max Born,ماکس بورن,او «احتمال» را به قلب مکانیک کوانتومی دوخت و نامهٔ اینشتین — «خدا تاس نمی‌اندازد» — به او نوشته شد. روایت مردی آرام که نوه‌اش اولیویا نیوتن-جان بود و نوبلش دیر رسید.
2331,publish,هانس کرامرس؛ نابغهٔ گمنام مکانیک کوانتومی,hendrik-kramers,847,12,2,True,,Hendrik Kramers,هانس کرامرس,یک روز بی‌خبر درِ خانهٔ نیلز بور را زد و بعد از آن ابزارهایی ساخت که فیزیک‌دان‌ها هر روز استفاده می‌کنند. قصهٔ نابغهٔ گمنامی که هرگز به شهرت هم‌عصرانش نرسید.
2335,publish,یوجین ویگنر؛ زبان تقارن در فیزیک,eugene-wigner,550,11,2,True,,Eugene Wigner,یوجین ویگنر,او تقارن را به زبان فیزیک ترجمه کرد و نوبل ۱۹۶۳ را گرفت؛ خواهرش هم با پل دیراک ازدواج کرد. قصهٔ مردی از دبیرستان فاشوری بوداپست، هم‌مدرسه‌ایِ فون‌نویمان.
2345,publish,رابرت میلیکان؛ وزن کردن بار الکترون,robert-millikan,474,11,2,True,,Robert Millikan,رابرت میلیکان,با قطرات ریز روغن، بار الکترون را اندازه گرفت و قانون فوتوالکتریک اینشتین را تأیید کرد و نوبل ۱۹۲۳ را برد. قصهٔ مردی که می‌خواست ایدهٔ اینشتین را رد کند اما آن را اثبات کرد.
2346,publish,کلینتون دیویسون؛ کشف تصادفی موج الکترون,clinton-davisson,451,12,2,True,,Clinton Davisson,کلینتون دیویسون,یک حادثهٔ آزمایشگاهی، الگوی پراش الکترون را آشکار کرد و موجی بودن ماده را برای نخستین بار ثابت کرد. قصهٔ مردی که بی‌آنکه دنبالش باشد، نوبل ۱۹۳۷ را برد.
2347,publish,اتو اشترن؛ آزمایشی که اسپین را عینی کرد,otto-stern,491,11,2,True,,Otto Stern,اتو اشترن,با پرتاب باریکه‌ای از اتم‌های نقره از میان یک آهنربا نشان داد اتم‌ها «سمت» دارند و اسپین را از روی کاغذ به واقعیت آورد. قصهٔ مردی که نوبل ۱۹۴۳ را گرفت.
2348,publish,والتر گرلاخ؛ دستانی که اسپین را دیدند,walther-gerlach,471,11,2,True,,Walther Gerlach,والتر گرلاخ,او ایدهٔ اشترن را عملاً اجرا کرد و کوانتش اسپین را برای نخستین بار دید؛ اما سایهٔ تاریخِ آلمان نازی، نامش را از نوبل بازداشت. قصه‌ای پیچیده و دوپهلو.
2349,publish,لئو اساکی؛ دیودی که از دیوار عبور کرد,leo-esaki,412,12,2,True,,Leo Esaki,لئو اساکی,در سونیِ ژاپن پس از جنگ، ثابت کرد الکترون می‌تواند از سد انرژی تونل بزند و دیود تونلی را ساخت و نوبل ۱۹۷۳ را گرفت. قصهٔ کشفی که در کتاب‌های کلاسیک «غیرممکن» بود.
2350,publish,گرد بینیگ؛ نخستین نگاه به اتم‌ها,gerd-binnig,394,11,2,True,,Gerd Binnig,گرد بینیگ,با میکروسکوپ تونلی روبشی، برای نخستین بار چشم انسان تک‌اتم‌ها را دید و نوبل ۱۹۸۶ را گرفت. قصهٔ دستگاهی که مرز دیدن را از نور فراتر برد.
2351,publish,هاینریش روهرر؛ دیدن اتم‌ها با لمس,heinrich-rohrer,392,11,2,True,,Heinrich Rohrer,هاینریش روهرر,از سوئیسِ آرام، با یک سوزن نازک‌تر از نور، چشم بشریت را به قلمرو تک‌اتم‌ها باز کرد و نوبل ۱۹۸۶ را گرفت. قصهٔ مردی که «دیدن» را فقط با نور نمی‌دانست.
2352,publish,برایان جوزفسون؛ پیش‌بینی در ۲۲سالگی,brian-josephson,440,11,2,True,,Brian Josephson,برایان جوزفسون,در ۲۲سالگی پدیده‌ای را روی کاغذ پیش‌بینی کرد که استادان باور نمی‌کردند و نوبل ۱۹۷۳ را گرفت. قصهٔ دانشجویی که دقیق‌ترین ابزار اندازه‌گیری تاریخ را ممکن کرد.
2353,publish,آکیرا تونومورا؛ الکترون‌ها یکی‌یکی,akira-tonomura,424,12,2,True,,Akira Tonomura,آکیرا تونومورا,آزمایشی را که فاینمن فقط در ذهنش داشت، واقعی کرد: الکترون‌ها را یکی‌یکی پرتاب کرد و تماشا کرد که الگوی تداخل ذره‌به‌ذره ساخته می‌شود. قصهٔ مشهورترین تصویر کوانتوم.
2354,publish,جیمز کلرک ماکسول؛ مرد چهار معادله,james-clerk-maxwell,481,10,2,True,,James Clerk Maxwell,جیمز کلرک ماکسول,با چهار معادله، برق و مغناطیس و نور را یکی کرد و پایهٔ دنیای مدرن — از رادیو تا گوشی شما — را گذاشت. قصهٔ مردی که اینشتین گفت روی شانه‌هایش ایستاده است.
2332,publish,ریچارد فاینمن؛ مردی که کوانتوم را به تصویر کشید,richard-feynman,743,16,2,True,,Richard Feynman,ریچارد فاینمن,او گفت هیچ‌کس کوانتوم را نمی‌فهمد، بعد با نمودارهایی از خط و فلش دقیق‌ترین نظریهٔ تاریخ علم را ساخت. قصهٔ مردی که علم را با طبل بانگو و طنز، به نمایش تبدیل کرد.
2333,publish,جولیان شوینگر؛ مهارکنندهٔ بی‌نهایت‌ها,julian-schwinger,639,13,2,True,,Julian Schwinger,جولیان شوینگر,در ۱۶سالگی نخستین مقاله‌اش را نوشت و در ۲۱سالگی دکترا گرفت؛ بعد بی‌نهایت‌های کوانتوم را مهار کرد. قصهٔ نابغه‌ای که آخرِ کار از انجمن فیزیک آمریکا استعفا داد.
2334,publish,سین-ایتیرو توموناگا؛ نابغهٔ تنها در جنگ,sin-itiro-tomonaga,533,14,2,True,,Sin-Itiro Tomonaga,سین-ایتیرو توموناگا,در انزوای جنگ جهانی دوم، به‌تنهایی همان مسئله‌ای را حل کرد که دو نابغهٔ آمریکایی حل می‌کردند و نوبل ۱۹۶۵ را با آن‌ها شریک شد. قصهٔ فیزیک‌دانی که ثابت کرد حقیقت مرز نمی‌شناسد.
2336,publish,هانس بته؛ مردی که راز خورشید را گشود,hans-bethe,537,10,2,True,,Hans Bethe,هانس بته,او به بشریت گفت ستاره‌ها از کجا انرژی می‌آورند و نوبل ۱۹۶۷ گرفت؛ بعد همان دانش در دستش به بمب اتمی هم راه یافت. قصهٔ مردی که هم راز ستارگان را گشود و هم وجدان علم را بیدار نگه داشت.
2337,publish,جرج گاموف؛ از تونل‌زنی تا مهبانگ,george-gamow,602,10,1,True,,George Gamow,جرج گاموف,از اتحاد شوروی گریخت، با تونل‌زنی کوانتومی راز واپاشی آلفا را گشود و از نخستین حامیان نظریهٔ مهبانگ شد. قصهٔ مردی که با کتاب‌هایش یک نسل را عاشق علم کرد.
2338,publish,لو لاندائو؛ نابغه‌ای که سانحه خاموشش کرد,lev-landau,520,11,2,True,,Lev Landau,لو لاندائو,هم‌قطارانش برای سنجیدن بقیه مقیاسی به نام خودش ساختند و او ابرشارگی را توضیح داد و نوبل ۱۹۶۲ گرفت. قصهٔ نابغه‌ای که یک سانحهٔ رانندگی، ذهنش را برای همیشه خاموش کرد.
2339,publish,جان ویلر؛ مردی که سیاه‌چاله را نام گذاشت,john-wheeler,526,10,2,True,,John Archibald Wheeler,جان ویلر,واژهٔ «سیاه‌چاله» را او سر زبان‌ها انداخت و استاد راهنمای فاینمن بود؛ در آخرین سال‌ها هم گفت «هر چیز از بیت» است. قصهٔ مردی که نام‌گذاریِ تاریک‌ترین چیزهای جهان بر عهده‌اش بود.
2340,publish,وویچیخ زورک؛ توضیح‌دهندهٔ دنیای کلاسیک,wojciech-zurek,510,13,2,True,,Wojciech Zurek,وویچیخ زورک,او پرسید چرا دنیای کوانتومی برای ما کلاسیک به نظر می‌رسد و جوابش — واهمدوسی و داروینیسم کوانتومی — از عمیق‌ترین ایده‌های فیزیک مدرن شد. قصهٔ مردی از لوس آلاموس.
2341,publish,جان کلاوزر؛ آزمایشگری که به حاشیه گوش نداد,john-clauser,423,13,2,True,,John Clauser,جان کلاوزر,وقتی استادان گفتند دنبال ایده‌های جان بل نرو، نشنیده گرفت و در ۱۹۷۲ نخستین آزمایش نابرابری بل را انجام داد. همان مسیر، نوبل ۲۰۲۲ را برایش آورد.
2342,publish,جان فون‌نویمان؛ مغزی که کوانتوم را بنیان نوشت,john-von-neumann,535,12,2,True,,John von Neumann,جان فون‌نویمان,او بنیان ریاضی مکانیک کوانتومی را نوشت، نظریهٔ بازی‌ها را ساخت و معماری کامپیوترهای امروزی را در قطار طرح کرد. قصهٔ نابغه‌ای با حافظه‌ای که هم‌قطارانش را حیرت‌زده می‌کرد.
2343,publish,پل اهرنفست؛ پلی که زیر پای خودش شکست,paul-ehrenfest,521,12,2,True,,Paul Ehrenfest,پل اهرنفست,او پل میان فیزیک کلاسیک و کوانتوم را ساخت و از دوستان نزدیک اینشتین بود؛ اما خودش زیر وزن همان پل در هم شکست. قصه‌ای تراژیک از تاریخ فیزیک.
2344,publish,ارنست رادرفورد؛ کاشف هستهٔ اتم,ernest-rutherford,542,11,2,True,,Ernest Rutherford,ارنست رادرفورد,پسر یک کشاورز نیوزیلندی، هستهٔ اتم را کشف کرد و شاگردانی ساخت که دوازده‌تایشان نوبل گرفتند. قصهٔ مردی که نوبل شیمی ۱۹۰۸ را برد و اتم را «باز» کرد.
2355,publish,لودویگ بولتزمن؛ شمارندهٔ بی‌نظمی,ludwig-boltzmann,483,12,2,True,,Ludwig Boltzmann,لودویگ بولتزمن,بی‌نظمی جهان را با فرمول S = k log W شمرد و آن را روی سنگ قبرش حک کردند؛ اما خودش در آشوب درونی فرو رفت. قصه‌ای تلخ از پدر مکانیک آماری.
2356,publish,ماری کوری؛ دو نوبل، یک زندگی,marie-curie,479,10,2,True,,Marie Curie,ماری کوری,در سوله‌ای سرد، تن‌ها سنگ معدن را هم زد تا پولونیوم و رادیوم را بیرون بکشد و دو نوبل در دو علم متفاوت گرفت. قصهٔ نخستین انسانی که دو نوبل علمی برد.
2357,publish,امی نوتر؛ زنی که تقارن را ترجمه کرد,emmy-noether,514,12,2,True,,Emmy Noether,امی نوتر,ثابت کرد پشت هر قانون بقا یک تقارن پنهان است و بنیادی‌ترین قضیهٔ فیزیک مدرن را نوشت؛ بی‌حقوق و بی‌کرسي. قصهٔ زنی که روزگاری به او کرسی نمی‌دادند.
2358,publish,لیزه مایتنر؛ مادر شکافت هسته‌ای,lise-meitner,525,9,2,True,,Lise Meitner,لیزه مایتنر,شکافت هستهٔ اتم را تفسیر کرد اما نوبلِ آن کشف تنها به همکار مردش رسید؛ عنصر ۱۰۹ به نامش شد. قصهٔ فیزیک‌دانی که هرگز انسانیتش را از دست نداد.
