همه ایرادات qpedia.ir — 2026-09-21 — 1725 مورد — قابل کپی
فرمت: [severity] code | slug | title | location | evidence | fix
[high] C01 | deutsch-jozsa-algorithm | محتوای بسیار نازک | loc:بدنه | ev:401 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | device-independent-qkd | محتوای بسیار نازک | loc:بدنه | ev:423 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | dilution-refrigerator | محتوای بسیار نازک | loc:بدنه | ev:379 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | dipolar-gas | محتوای بسیار نازک | loc:بدنه | ev:348 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | dirac-semimetal | محتوای بسیار نازک | loc:بدنه | ev:393 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | eigenstate-thermalization | محتوای بسیار نازک | loc:بدنه | ev:372 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | electromagnetically-induced-transparency | محتوای بسیار نازک | loc:بدنه | ev:536 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | electroweak-theory | محتوای بسیار نازک | loc:بدنه | ev:339 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | exciton | محتوای بسیار نازک | loc:بدنه | ev:355 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | fermi-gas | محتوای بسیار نازک | loc:بدنه | ev:383 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | fiber-optics | محتوای بسیار نازک | loc:بدنه | ev:473 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | fine-structure-constant | محتوای بسیار نازک | loc:بدنه | ev:377 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | flash-memory | محتوای بسیار نازک | loc:بدنه | ev:519 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | fock-state | محتوای بسیار نازک | loc:بدنه | ev:385 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | four-wave-mixing | محتوای بسیار نازک | loc:بدنه | ev:359 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | fractional-quantum-hall-effect | محتوای بسیار نازک | loc:بدنه | ev:357 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | genetic-mutation | محتوای بسیار نازک | loc:بدنه | ev:473 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | ghz-state | محتوای بسیار نازک | loc:بدنه | ev:339 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | grover-algorithm | محتوای بسیار نازک | loc:بدنه | ev:457 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | hardy-paradox | محتوای بسیار نازک | loc:بدنه | ev:361 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | heavy-fermion | محتوای بسیار نازک | loc:بدنه | ev:386 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | higgs-boson | محتوای بسیار نازک | loc:بدنه | ev:576 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | homodyne-detection | محتوای بسیار نازک | loc:بدنه | ev:394 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | kondo-effect | محتوای بسیار نازک | loc:بدنه | ev:391 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | magnon | محتوای بسیار نازک | loc:بدنه | ev:329 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | majorana-fermion | محتوای بسیار نازک | loc:بدنه | ev:393 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | many-body-localization | محتوای بسیار نازک | loc:بدنه | ev:388 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | measurement-device-independent-qkd | محتوای بسیار نازک | loc:بدنه | ev:432 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | mott-insulator | محتوای بسیار نازک | loc:بدنه | ev:388 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | nanowire | محتوای بسیار نازک | loc:بدنه | ev:357 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | neutrino | محتوای بسیار نازک | loc:بدنه | ev:558 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | no-cloning-theorem | محتوای بسیار نازک | loc:بدنه | ev:438 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | nuclear-spin | محتوای بسیار نازک | loc:بدنه | ev:537 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | optical-lattice | محتوای بسیار نازک | loc:بدنه | ev:390 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | optical-parametric-oscillator | محتوای بسیار نازک | loc:بدنه | ev:387 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | phonon | محتوای بسیار نازک | loc:بدنه | ev:351 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | photon-blockade | محتوای بسیار نازک | loc:بدنه | ev:331 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | photon-counting | محتوای بسیار نازک | loc:بدنه | ev:370 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | pilot-wave | محتوای بسیار نازک | loc:بدنه | ev:467 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | plasmon | محتوای بسیار نازک | loc:بدنه | ev:351 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | polariton | محتوای بسیار نازک | loc:بدنه | ev:349 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | polaron | محتوای بسیار نازک | loc:بدنه | ev:377 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | proton-decay | محتوای بسیار نازک | loc:بدنه | ev:424 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | qaoa | محتوای بسیار نازک | loc:بدنه | ev:374 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-anesthesia | محتوای بسیار نازک | loc:بدنه | ev:379 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-auction | محتوای بسیار نازک | loc:بدنه | ev:358 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-bacteria | محتوای بسیار نازک | loc:بدنه | ev:376 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-blockchain | محتوای بسیار نازک | loc:بدنه | ev:409 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-bounce | محتوای بسیار نازک | loc:بدنه | ev:396 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-cancer | محتوای بسیار نازک | loc:بدنه | ev:377 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-cell-signaling | محتوای بسیار نازک | loc:بدنه | ev:388 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-cheshire-cat | محتوای بسیار نازک | loc:بدنه | ev:410 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-chromodynamics | محتوای بسیار نازک | loc:بدنه | ev:348 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-cloud | محتوای بسیار نازک | loc:بدنه | ev:418 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-compiler | محتوای بسیار نازک | loc:بدنه | ev:408 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-contextuality | محتوای بسیار نازک | loc:بدنه | ev:365 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-control | محتوای بسیار نازک | loc:بدنه | ev:424 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-cosmology | محتوای بسیار نازک | loc:بدنه | ev:355 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-criticality | محتوای بسیار نازک | loc:بدنه | ev:357 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-culture | محتوای بسیار نازک | loc:بدنه | ev:381 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-digital-signature | محتوای بسیار نازک | loc:بدنه | ev:445 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-dimer | محتوای بسیار نازک | loc:بدنه | ev:376 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-droplet | محتوای بسیار نازک | loc:بدنه | ev:389 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-electrodynamics | محتوای بسیار نازک | loc:بدنه | ev:341 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-engine-efficiency | محتوای بسیار نازک | loc:بدنه | ev:382 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-entropy | محتوای بسیار نازک | loc:بدنه | ev:356 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-error-correction | محتوای بسیار نازک | loc:بدنه | ev:447 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-fiction | محتوای بسیار نازک | loc:بدنه | ev:390 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-fingerprinting | محتوای بسیار نازک | loc:بدنه | ev:361 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-fluctuation-theorem | محتوای بسیار نازک | loc:بدنه | ev:360 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-fpga | محتوای بسیار نازک | loc:بدنه | ev:350 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-gate | محتوای بسیار نازک | loc:بدنه | ev:419 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-generative-model | محتوای بسیار نازک | loc:بدنه | ev:399 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-heat-engine | محتوای بسیار نازک | loc:بدنه | ev:381 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-imaging-undetected-photons | محتوای بسیار نازک | loc:بدنه | ev:571 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-kernel | محتوای بسیار نازک | loc:بدنه | ev:392 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-lithography | محتوای بسیار نازک | loc:بدنه | ev:391 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-logic | محتوای بسیار نازک | loc:بدنه | ev:332 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-maxwell-demon | محتوای بسیار نازک | loc:بدنه | ev:369 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-microscopy | محتوای بسیار نازک | loc:بدنه | ev:436 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-money | محتوای بسیار نازک | loc:بدنه | ev:395 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-music | محتوای بسیار نازک | loc:بدنه | ev:393 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-network | محتوای بسیار نازک | loc:بدنه | ev:415 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-neural-network | محتوای بسیار نازک | loc:بدنه | ev:396 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-phase-estimation | محتوای بسیار نازک | loc:بدنه | ev:416 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-phase-transition | محتوای بسیار نازک | loc:بدنه | ev:369 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-pigeonhole | محتوای بسیار نازک | loc:بدنه | ev:392 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-probability | محتوای بسیار نازک | loc:بدنه | ev:338 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-programming-language | محتوای بسیار نازک | loc:بدنه | ev:379 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-refrigerator | محتوای بسیار نازک | loc:بدنه | ev:376 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-reinforcement-learning | محتوای بسیار نازک | loc:بدنه | ev:389 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-router | محتوای بسیار نازک | loc:بدنه | ev:413 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-secret-sharing | محتوای بسیار نازک | loc:بدنه | ev:401 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-secure-direct-communication | محتوای بسیار نازک | loc:بدنه | ev:392 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-simulation | محتوای بسیار نازک | loc:بدنه | ev:404 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-singularity | محتوای بسیار نازک | loc:بدنه | ev:396 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-solipsism | محتوای بسیار نازک | loc:بدنه | ev:399 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-supremacy | محتوای بسیار نازک | loc:بدنه | ev:595 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-thermalization | محتوای بسیار نازک | loc:بدنه | ev:357 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-thermometry | محتوای بسیار نازک | loc:بدنه | ev:382 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-viruses | محتوای بسیار نازک | loc:بدنه | ev:393 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-voting | محتوای بسیار نازک | loc:بدنه | ev:417 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-walk | محتوای بسیار نازک | loc:بدنه | ev:359 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | quantum-winter | محتوای بسیار نازک | loc:بدنه | ev:377 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | rabi-oscillations | محتوای بسیار نازک | loc:بدنه | ev:499 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | rydberg-atom | محتوای بسیار نازک | loc:بدنه | ev:364 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | scanning-tunneling-microscope | محتوای بسیار نازک | loc:بدنه | ev:478 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | shor-algorithm | محتوای بسیار نازک | loc:بدنه | ev:481 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | simon-algorithm | محتوای بسیار نازک | loc:بدنه | ev:398 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | slow-light | محتوای بسیار نازک | loc:بدنه | ev:398 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | soliton | محتوای بسیار نازک | loc:بدنه | ev:388 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | solvay-conference-1927 | محتوای بسیار نازک | loc:بدنه | ev:590 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | spin-ice | محتوای بسیار نازک | loc:بدنه | ev:372 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | squid | محتوای بسیار نازک | loc:بدنه | ev:361 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | standard-model | محتوای بسیار نازک | loc:بدنه | ev:536 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | stellar-fusion | محتوای بسیار نازک | loc:بدنه | ev:509 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | stern-gerlach-experiment | محتوای بسیار نازک | loc:بدنه | ev:548 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | stimulated-emission | محتوای بسیار نازک | loc:بدنه | ev:480 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | super-resolution-quantum | محتوای بسیار نازک | loc:بدنه | ev:408 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | three-box-paradox | محتوای بسیار نازک | loc:بدنه | ev:394 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | topological-insulator | محتوای بسیار نازک | loc:بدنه | ev:391 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | twin-field-qkd | محتوای بسیار نازک | loc:بدنه | ev:442 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | variational-quantum-eigensolver | محتوای بسیار نازک | loc:بدنه | ev:375 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | virtual-particles | محتوای بسیار نازک | loc:بدنه | ev:520 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | weyl-semimetal | محتوای بسیار نازک | loc:بدنه | ev:394 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | wimp | محتوای بسیار نازک | loc:بدنه | ev:377 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | wormhole | محتوای بسیار نازک | loc:بدنه | ev:396 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] I01 | quantum-cryptography-internet-security | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | quantum-learning-resources | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | quantum-number | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | simon-algorithm | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | stellar-fusion | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | superposition-explained | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | vacuum-fluctuations | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
[high] I01 | why-large-objects-dont-superpose | تصویر شاخص ندارد | loc:_thumbnail_id | ev: | fix:تصویر شاخص اختصاصی و مرتبط تعریف کنید
