new_sequence,sequence,post_id,revised_title,slug,url,simple_mother,simple_mother_slug,simple_category,simple_category_slug
50,54,2489,نوبل فیزیک ۲۰۲۳؛ پالس‌های آتوثانیه‌ای و حرکت الکترون‌ها,attosecond-nobel-2023,https://qpedia.ir/attosecond-nobel-2023/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
51,55,2490,پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,ibm-condor-processor,https://qpedia.ir/ibm-condor-processor/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
52,56,2491,پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,pet-scan-antimatter,https://qpedia.ir/pet-scan-antimatter/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
53,58,2493,افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,quantum-fluctuations-cosmos,https://qpedia.ir/quantum-fluctuations-cosmos/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
54,59,2494,اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,quantum-internet-satellite,https://qpedia.ir/quantum-internet-satellite/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
55,60,2495,یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها,quantum-machine-learning,https://qpedia.ir/quantum-machine-learning/,فناوری کوانتومی,quantum-technology,هوش مصنوعی کوانتومی,quantum-ai
56,61,2496,رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,quantum-radar,https://qpedia.ir/quantum-radar/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
57,62,2497,مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,quantum-spin-liquid,https://qpedia.ir/quantum-spin-liquid/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
58,63,2498,ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,quantum-thermodynamics,https://qpedia.ir/quantum-thermodynamics/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
59,64,2500,پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,black-hole-information-paradox,https://qpedia.ir/black-hole-information-paradox/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
60,65,2501,چرا تله پورت انسان از نظر علمی غیرممکن است؟,human-teleportation,https://qpedia.ir/human-teleportation/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
61,67,2503,بهترین مستندهای فیزیک کوانتوم که باید ببینید,quantum-documentaries,https://qpedia.ir/quantum-documentaries/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
62,68,2504,فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,quantum-physics-in-movies-ant-man,https://qpedia.ir/quantum-physics-in-movies-ant-man/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
63,69,2505,آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,quantum-time-travel,https://qpedia.ir/quantum-time-travel/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
64,70,2512,قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟,law-of-attraction-quantum,https://qpedia.ir/law-of-attraction-quantum/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
65,71,2513,نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد,nobel-physics-2025,https://qpedia.ir/nobel-physics-2025/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
66,72,2514,روز کیو چیست و واقعاً کِی می رسد؟,q-day,https://qpedia.ir/q-day/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
67,73,2515,نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست,quantum-dots-displays,https://qpedia.ir/quantum-dots-displays/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
68,74,2516,تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟,willow-chip,https://qpedia.ir/willow-chip/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
69,75,2520,الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است,harvest-now-decrypt-later,https://qpedia.ir/harvest-now-decrypt-later/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
70,76,2521,آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟,bitcoin-quantum-threat,https://qpedia.ir/bitcoin-quantum-threat/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
71,77,2522,پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟,quantum-eraser,https://qpedia.ir/quantum-eraser/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
72,78,2523,پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟,moore-law-quantum-limit,https://qpedia.ir/moore-law-quantum-limit/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
73,79,2524,صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز,quantum-century-2025,https://qpedia.ir/quantum-century-2025/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
74,80,2527,مولد عدد تصادفی کوانتومی؛ آیا تصادف بنیادی قابل استفاده است؟,quantum-random-number-generator,https://qpedia.ir/quantum-random-number-generator/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
75,81,2528,ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی,room-temperature-superconductor,https://qpedia.ir/room-temperature-superconductor/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
76,82,2529,انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان,zero-point-energy-scam,https://qpedia.ir/zero-point-energy-scam/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
77,83,2530,حباب هیجان کوانتومی؛ چقدرش واقعی است؟,quantum-hype-bubble,https://qpedia.ir/quantum-hype-bubble/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
78,84,2531,آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست,quantum-annealing-dwave,https://qpedia.ir/quantum-annealing-dwave/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
79,85,2533,پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی,josephson-junction,https://qpedia.ir/josephson-junction/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
80,86,2534,ناوبری کوانتومی؛ مسیریابی بدون ماهواره,quantum-navigation,https://qpedia.ir/quantum-navigation/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
81,87,2535,پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟,wigner-friend,https://qpedia.ir/wigner-friend/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
82,88,2536,جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟,quantum-immortality,https://qpedia.ir/quantum-immortality/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
83,89,2537,آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی,simulation-hypothesis-quantum,https://qpedia.ir/simulation-hypothesis-quantum/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
84,90,2741,گلوئون و بوزون W و Z؛ چسب هسته و واپاشی,gluon-w-z-bosons,https://qpedia.ir/gluon-w-z-bosons/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
85,91,2742,میون و تاو؛ پسرعموهای سنگین الکترون,muon-and-tau,https://qpedia.ir/muon-and-tau/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
86,95,2747,نوبل فیزیک ۲۰۱۲؛ یک ذره را گرفتند و نکشتند,nobel-physics-2012,https://qpedia.ir/nobel-physics-2012/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
87,96,2748,نوبل فیزیک ۲۰۲۲؛ درهم تنیدگی دیگر فلسفه نیست,nobel-physics-2022,https://qpedia.ir/nobel-physics-2022/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
88,97,2749,آزمایش بل بدون حفره ۲۰۱۵ چه بود؟,loophole-free-bell-test,https://qpedia.ir/loophole-free-bell-test/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
89,98,2750,انتخاب تأخیری ویلر؛ فوتون از قبل تصمیم نگرفته,wheeler-delayed-choice,https://qpedia.ir/wheeler-delayed-choice/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
90,102,2755,محاسبه با اندازه گیری؛ کامپیوتر یک طرفه,measurement-based-quantum-computing,https://qpedia.ir/measurement-based-quantum-computing/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
91,104,2757,اثر آهارونوف-بوهم؛ فاز بدون میدان محلی,aharonov-bohm-effect,https://qpedia.ir/aharonov-bohm-effect/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
92,110,2764,کریستال درمانی؛ سنگ شفا نمی دهد,crystal-healing-debunked,https://qpedia.ir/crystal-healing-debunked/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
93,111,2765,هوش مصنوعی کوانتومی؛ بیشترش برچسب است,quantum-ai-marketing-hype,https://qpedia.ir/quantum-ai-marketing-hype/,فناوری کوانتومی,quantum-technology,هوش مصنوعی کوانتومی,quantum-ai
94,113,2835,ماکس بورن و تفسیر احتمالاتی؛ مربع تابع موج چه می گوید؟,born-probability,https://qpedia.ir/born-probability/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
95,118,2859,تاریخ صد ساله فیزیک کوانتوم,quantum-history,https://qpedia.ir/quantum-history/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
96,120,2866,مایکروسافت و کیوبیت های توپولوژیک مایورانا,majorana-topological,https://qpedia.ir/majorana-topological/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
97,121,301,گربه شرودینگر؛ آزمایش فکری درباره اندازه‌گیری کوانتومی,schrodinger-cat,https://qpedia.ir/schrodinger-cat/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
98,124,504,فوتون دقیقا چیست ؟,photon,https://qpedia.ir/photon/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
99,125,505,الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,electron,https://qpedia.ir/electron/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
100,126,509,اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,pauli-exclusion-principle,https://qpedia.ir/pauli-exclusion-principle/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
101,127,512,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
102,128,551,آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟,mind-quantum-reality,https://qpedia.ir/mind-quantum-reality/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
103,129,553,آزمایش‌های بل؛ شواهد تجربی علیه واقع‌گرایی موضعی,bell-experiments,https://qpedia.ir/bell-experiments/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
104,130,560,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,is-classical-physics-wrong,https://qpedia.ir/is-classical-physics-wrong/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
105,131,561,آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟,quantum-interpretation-debate,https://qpedia.ir/quantum-interpretation-debate/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
106,132,563,آیا هوش مصنوعی از کوانتوم استفاده می کند؟,does-ai-use-quantum,https://qpedia.ir/does-ai-use-quantum/,فناوری کوانتومی,quantum-technology,هوش مصنوعی کوانتومی,quantum-ai
107,133,565,آیا کوانتوم یعنی چندجهانی واقعی است؟,is-many-worlds-real,https://qpedia.ir/is-many-worlds-real/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
108,134,566,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,quantum-career-future-learn,https://qpedia.ir/quantum-career-future-learn/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
109,135,567,اصل عدم قطعیت هایزنبرگ به زبان ساده,heisenberg-uncertainty-principle,https://qpedia.ir/heisenberg-uncertainty-principle/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
110,137,570,برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,why-large-objects-dont-superpose,https://qpedia.ir/why-large-objects-dont-superpose/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
111,138,571,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,determinism-vs-probability,https://qpedia.ir/determinism-vs-probability/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
112,139,2873,نیلز بور و اصل تکمیل؛ چرا یک چیز هم موج است هم ذره؟,bohr-complementarity,https://qpedia.ir/bohr-complementarity/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
113,141,572,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,quantum-physics-vs-quantum-mechanics,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
114,142,573,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,coin-vs-dice-quantum-uncertainty,https://qpedia.ir/coin-vs-dice-quantum-uncertainty/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
115,143,574,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,quantum-analogy-exercise-boundary,https://qpedia.ir/quantum-analogy-exercise-boundary/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
116,144,575,چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟,quantum-understanding-achievement,https://qpedia.ir/quantum-understanding-achievement/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
117,145,2226,عدد کوانتومی چیست؟,quantum-number,https://qpedia.ir/quantum-number/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
118,146,2227,ناظر در کوانتوم چیست؟,observer,https://qpedia.ir/observer/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
119,147,2228,اصل مکملیت چیست؟,complementarity-principle,https://qpedia.ir/complementarity-principle/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
120,148,2230,نوترینو چیست؟,neutrino,https://qpedia.ir/neutrino/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
121,149,2233,مدل استاندارد چیست؟,standard-model,https://qpedia.ir/standard-model/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
122,150,2234,ذرات مجازی چیستند؟,virtual-particles,https://qpedia.ir/virtual-particles/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
123,151,2237,مقالهٔ EPR چیست؟,epr-paradox,https://qpedia.ir/epr-paradox/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
124,152,2238,آزمایش اشترن-گرلاخ چیست؟,stern-gerlach-experiment,https://qpedia.ir/stern-gerlach-experiment/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
125,153,2247,حافظهٔ فلش چطور کار می‌کند؟,flash-memory,https://qpedia.ir/flash-memory/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
126,154,2248,میکروسکوپ تونلی چیست؟,scanning-tunneling-microscope,https://qpedia.ir/scanning-tunneling-microscope/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
127,155,2249,فیبر نوری چگونه کار می‌کند؟,fiber-optics,https://qpedia.ir/fiber-optics/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
128,156,2250,مزیت کوانتومی چیست؟ تفاوت آن با برتری مطلق رایانه‌ها,quantum-supremacy,https://qpedia.ir/quantum-supremacy/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
129,157,2251,الگوریتم شور چیست؟,shor-algorithm,https://qpedia.ir/shor-algorithm/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
130,158,2259,تفسیر دوبروی-بوهم چیست؟,pilot-wave,https://qpedia.ir/pilot-wave/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
131,159,2260,آیا جهش ژنتیکی کوانتومی است؟,genetic-mutation,https://qpedia.ir/genetic-mutation/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
132,160,2743,پروتون از چه ساخته شده؟ کوارک کافی نیست,proton-neutron-quark-structure,https://qpedia.ir/proton-neutron-quark-structure/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
133,161,2751,کامپیوتر توپولوژیک؛ گره ای که خطا را نمی بیند,topological-quantum-computing,https://qpedia.ir/topological-quantum-computing/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
