sequence,post_id,status,title,slug,url,post_date,audit_status,revised_title,mother_category,main_category,subcategory,subcategory_slug,canonical_sequence,audit_note
11,298,publish,درهم‌تنیدگی کوانتومی؛ «اثر شبح‌وار» که واقعی است، اما پیام نمی‌فرستد,quantum-entanglement-explained,https://qpedia.ir/quantum-entanglement-explained/,2026-08-23 00:29:03,حفظ,درهم‌تنیدگی کوانتومی؛ «اثر شبح‌وار» که واقعی است، اما پیام نمی‌فرستد,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence,,
12,299,publish,تونل‌زنی کوانتومی؛ پدیده‌ای که بدونش خورشید نمی‌تابید,quantum-tunneling,https://qpedia.ir/quantum-tunneling/,2026-08-23 00:29:03,حفظ,تونل‌زنی کوانتومی؛ پدیده‌ای که بدونش خورشید نمی‌تابید,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
13,300,publish,اثر فوتوالکتریک,photoelectric-effect,https://qpedia.ir/photoelectric-effect/,2026-09-03 03:49:03,حفظ,اثر فوتوالکتریک,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,نور، فوتون و برهم‌کنش نور و ماده,light-photons-light-matter,,
14,302,publish,اثر زنون کوانتومی,quantum-zeno-effect,https://qpedia.ir/quantum-zeno-effect/,2026-08-23 00:29:03,حفظ,اثر زنون کوانتومی,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty,,
15,303,publish,نوسانات خلأ,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,2026-08-23 00:29:03,حفظ,نوسانات خلأ,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
16,304,publish,اثر کازیمیر,casimir-effect,https://qpedia.ir/casimir-effect/,2026-08-23 00:29:03,حفظ,اثر کازیمیر,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
17,305,publish,ابررسانایی,superconductivity,https://qpedia.ir/superconductivity/,2026-09-03 03:45:19,حفظ,ابررسانایی,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و پیوند جوزفسون,superconductivity-josephson,,
18,306,publish,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,superfluidity,https://qpedia.ir/superfluidity/,2026-08-23 00:29:03,حفظ,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases,,
19,307,publish,فاجعهٔ فرابنفش,ultraviolet-catastrophe,https://qpedia.ir/ultraviolet-catastrophe/,2026-08-23 01:33:42,حفظ,فاجعهٔ فرابنفش,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
20,308,publish,مدل اتمی بور,bohr-atomic-model,https://qpedia.ir/bohr-atomic-model/,2026-08-23 01:33:42,حفظ,مدل اتمی بور,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
21,309,publish,نامساوی بل,bell-inequality,https://qpedia.ir/bell-inequality/,2026-09-03 03:21:12,حفظ,نامساوی بل,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence,,
22,310,publish,تفسیر کپنهاگی,copenhagen-interpretation,https://qpedia.ir/copenhagen-interpretation/,2026-09-03 03:21:45,حفظ,تفسیر کپنهاگی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
23,311,publish,تفسیر جهان‌های موازی,many-worlds-interpretation,https://qpedia.ir/many-worlds-interpretation/,2026-09-03 03:22:45,حفظ,تفسیر جهان‌های موازی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses,,
24,312,publish,کیوبیت چیست؟ چرا «بیت کوانتومی» یک بیت بهتر نیست؟,qubit,https://qpedia.ir/qubit/,2026-08-23 01:33:42,حفظ,کیوبیت چیست؟ چرا «بیت کوانتومی» یک بیت بهتر نیست؟,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,کیوبیت، گیت و مدار کوانتومی,qubits-gates-circuits,,
25,313,publish,لیزر چطور کار می‌کند؟,how-lasers-work,https://qpedia.ir/how-lasers-work/,2026-09-03 03:23:50,حفظ,لیزر چطور کار می‌کند؟,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,لیزرها و اپتیک غیرخطی,lasers-nonlinear-optics,,
26,314,publish,ترانزیستور؛ کوانتوم در جیب شما,transistor-quantum,https://qpedia.ir/transistor-quantum/,2026-09-03 03:25:00,حفظ,ترانزیستور؛ کوانتوم در جیب شما,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology,,
27,315,publish,ساعت اتمی و جی‌پی‌اس,atomic-clock-gps,https://qpedia.ir/atomic-clock-gps/,2026-09-03 03:25:44,حفظ,ساعت اتمی و جی‌پی‌اس,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,زمان‌سنجی، ساعت اتمی و ناوبری,atomic-clocks-navigation,,
28,316,publish,«همه‌چیز انرژی است» — بررسی یک ادعا,everything-is-energy-claim,https://qpedia.ir/everything-is-energy-claim/,2026-08-23 01:33:42,حفظ,«همه‌چیز انرژی است» — بررسی یک ادعا,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience,,
29,320,publish,آنزیم‌ها؛ عبور از دیوار به‌جای پریدن,enzyme-quantum-tunneling,https://qpedia.ir/enzyme-quantum-tunneling/,2026-08-23 01:53:18,اصلاح عنوان,تونل‌زنی کوانتومی در آنزیم‌ها؛ چه شواهدی داریم؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
30,321,publish,آیا مغز کوانتومی است؟,is-the-brain-quantum,https://qpedia.ir/is-the-brain-quantum/,2026-09-03 03:20:41,حفظ,آیا مغز کوانتومی است؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,مغز، آگاهی و علوم اعصاب,quantum-brain-neuroscience,,
31,511,publish,کوانتوم و پزشکی,quantum-alternative-medicine-science,https://qpedia.ir/quantum-alternative-medicine-science/,2026-09-03 03:29:13,حفظ,کوانتوم و پزشکی,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی، تصویربرداری و تشخیص,quantum-medicine-imaging-diagnostics,,
32,514,publish,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,mri-quantum,https://qpedia.ir/mri-quantum/,2026-09-03 03:29:58,حفظ,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی، تصویربرداری و تشخیص,quantum-medicine-imaging-diagnostics,,
33,518,publish,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,spot-pseudoscience-one-sentence,https://qpedia.ir/spot-pseudoscience-one-sentence/,2026-09-03 03:13:24,حفظ,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience,,
34,545,publish,تله پورت کوانتومی چیست؟,quantum-teleportation,https://qpedia.ir/quantum-teleportation/,2026-09-01 04:03:21,حفظ,تله پورت کوانتومی چیست؟,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط و تله‌پورت کوانتومی,quantum-communication-teleportation,,
35,564,publish,آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,does-quantum-prove-god,https://qpedia.ir/does-quantum-prove-god/,2026-09-03 03:03:59,حفظ,آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses,,
36,568,publish,اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),einstein-photoelectric-effect,https://qpedia.ir/einstein-photoelectric-effect/,2026-09-03 03:11:09,حفظ,اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
37,2090,publish,زنان فراموش‌شدهٔ فیزیک کوانتوم,forgotten-women-quantum,https://qpedia.ir/forgotten-women-quantum/,2026-09-02 21:06:28,حفظ,زنان فراموش‌شدهٔ فیزیک کوانتوم,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,
38,2091,publish,شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت,schrodinger-life-equation,https://qpedia.ir/schrodinger-life-equation/,2026-09-03 02:43:49,حفظ,شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,
39,2236,publish,کنفرانس سولوی ۱۹۲۷ چه بود؟,solvay-conference-1927,https://qpedia.ir/solvay-conference-1927/,2026-09-03 20:32:34,حفظ,کنفرانس سولوی ۱۹۲۷ چه بود؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
40,2239,publish,آزمایش آسپه ۱۹۸۲ چه بود؟,aspect-experiment-1982,https://qpedia.ir/aspect-experiment-1982/,2026-09-03 20:32:34,حفظ,آزمایش آسپه ۱۹۸۲ چه بود؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
41,2241,publish,صفر مطلق چیست؟,absolute-zero,https://qpedia.ir/absolute-zero/,2026-09-03 20:32:34,حفظ,صفر مطلق چیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
42,2242,publish,واپاشی آلفا چیست؟,alpha-decay,https://qpedia.ir/alpha-decay/,2026-09-03 20:32:34,حفظ,واپاشی آلفا چیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
43,2243,publish,گسیل تحریکی چیست؟,stimulated-emission,https://qpedia.ir/stimulated-emission/,2026-09-03 20:32:34,حفظ,گسیل تحریکی چیست؟,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,میدان‌های کوانتومی و نیروهای بنیادی,quantum-fields-fundamental-forces,,
44,2478,publish,اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,holographic-principle,https://qpedia.ir/holographic-principle/,2026-09-05 22:39:44,حفظ,اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses,,
45,2479,publish,رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,post-quantum-cryptography,https://qpedia.ir/post-quantum-cryptography/,2026-09-05 22:39:44,حفظ,رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,امنیت و رمزنگاری پساکوانتومی,post-quantum-security,,
46,2480,publish,شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,quantum-chemistry,https://qpedia.ir/quantum-chemistry/,2026-09-05 22:39:44,حفظ,شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی کوانتومی و ساختار مولکولی,quantum-chemistry-molecular-structure,,
47,2481,publish,چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟,quantum-classical-boundary,https://qpedia.ir/quantum-classical-boundary/,2026-09-05 22:39:44,حفظ,چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
48,2482,publish,داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,quantum-darwinism,https://qpedia.ir/quantum-darwinism/,2026-09-05 22:39:44,حفظ,داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,واقعیت، علیت و مسئله ناظر,reality-causality-observer,,
49,2483,publish,کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟,quantum-free-will,https://qpedia.ir/quantum-free-will/,2026-09-05 22:39:44,حفظ,کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness,,
50,2484,publish,گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک,quantum-gravity,https://qpedia.ir/quantum-gravity/,2026-09-05 22:39:44,حفظ,گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش کوانتومی و فضا–زمان,quantum-gravity-spacetime,,
51,2485,publish,شفای کوانتومی؛ چرا این ادعا شبه علم است؟,quantum-healing-debunked,https://qpedia.ir/quantum-healing-debunked/,2026-09-05 22:39:44,حفظ,شفای کوانتومی؛ چرا این ادعا شبه علم است؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,ادعاهای درمانی و شبه‌علم پزشکی,quantum-medical-pseudoscience,,
52,2486,publish,نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,string-theory-quantum,https://qpedia.ir/string-theory-quantum/,2026-09-05 22:39:44,حفظ,نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش کوانتومی و فضا–زمان,quantum-gravity-spacetime,,
53,2487,publish,کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود,time-crystal,https://qpedia.ir/time-crystal/,2026-09-05 22:39:44,حفظ,کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases,,
54,2489,publish,نوبل فیزیک ۲۰۲۳؛ عکاسی از حرکت الکترون,attosecond-nobel-2023,https://qpedia.ir/attosecond-nobel-2023/,2026-09-05 23:05:17,اصلاح عنوان,نوبل فیزیک ۲۰۲۳؛ پالس‌های آتوثانیه‌ای و حرکت الکترون‌ها,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
55,2490,publish,پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,ibm-condor-processor,https://qpedia.ir/ibm-condor-processor/,2026-09-05 23:05:17,حفظ,پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
56,2491,publish,پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,pet-scan-antimatter,https://qpedia.ir/pet-scan-antimatter/,2026-09-05 23:05:17,حفظ,پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی، تصویربرداری و تشخیص,quantum-medicine-imaging-diagnostics,,
57,2492,publish,باتری کوانتومی؛ چرا بزرگ تر یعنی سریع تر؟,quantum-battery,https://qpedia.ir/quantum-battery/,2026-09-05 23:05:17,اصلاح عنوان,باتری کوانتومی چیست؟ ظرفیت نظری و محدودیت‌های واقعی,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
58,2493,publish,افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,quantum-fluctuations-cosmos,https://qpedia.ir/quantum-fluctuations-cosmos/,2026-09-05 23:05:17,حفظ,افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe,,
59,2494,publish,اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,quantum-internet-satellite,https://qpedia.ir/quantum-internet-satellite/,2026-09-05 23:05:17,حفظ,اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,شبکه، ریپیتر و اینترنت کوانتومی,quantum-networks-repeaters-internet,,
60,2495,publish,یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها,quantum-machine-learning,https://qpedia.ir/quantum-machine-learning/,2026-09-05 23:05:17,حفظ,یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها,اطلاعات و فناوری کوانتومی,هوش مصنوعی و یادگیری ماشین کوانتومی,مبانی یادگیری ماشین کوانتومی,quantum-machine-learning-foundations,,
61,2496,publish,رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,quantum-radar,https://qpedia.ir/quantum-radar/,2026-09-05 23:05:17,حفظ,رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,رادار، لیدار و سنجش نوری,quantum-radar-lidar-optical-sensing,,
62,2497,publish,مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,quantum-spin-liquid,https://qpedia.ir/quantum-spin-liquid/,2026-09-05 23:05:17,حفظ,مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,مواد و فازهای توپولوژیک,topological-quantum-materials,,
63,2498,publish,ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,quantum-thermodynamics,https://qpedia.ir/quantum-thermodynamics/,2026-09-05 23:05:17,حفظ,ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,ترمودینامیک، آنتروپی و ماشین‌های کوانتومی,quantum-thermodynamics-entropy-machines,,
64,2500,publish,پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,black-hole-information-paradox,https://qpedia.ir/black-hole-information-paradox/,2026-09-05 23:25:55,حفظ,پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,سیاه‌چاله‌ها، افق و اطلاعات,black-holes-horizons-information,,
65,2501,publish,چرا تله پورت انسان از نظر علمی غیرممکن است؟,human-teleportation,https://qpedia.ir/human-teleportation/,2026-09-05 23:25:55,حفظ,چرا تله پورت انسان از نظر علمی غیرممکن است؟,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط و تله‌پورت کوانتومی,quantum-communication-teleportation,,
66,2502,publish,ده دیدگاه فیزیکدانان بزرگ دربارهٔ عجایب کوانتوم,physicists-on-quantum-weirdness,https://qpedia.ir/physicists-on-quantum-weirdness/,2026-09-05 23:25:55,حفظ,ده دیدگاه فیزیکدانان بزرگ دربارهٔ عجایب کوانتوم,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,واقعیت، علیت و مسئله ناظر,reality-causality-observer,,
67,2503,publish,بهترین مستندهای فیزیک کوانتوم که باید ببینید,quantum-documentaries,https://qpedia.ir/quantum-documentaries/,2026-09-05 23:25:55,حفظ,بهترین مستندهای فیزیک کوانتوم که باید ببینید,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources,,
68,2504,publish,فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,quantum-physics-in-movies-ant-man,https://qpedia.ir/quantum-physics-in-movies-ant-man/,2026-09-05 23:25:55,حفظ,فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future,,
69,2505,publish,آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,quantum-time-travel,https://qpedia.ir/quantum-time-travel/,2026-09-05 23:25:55,حفظ,آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness,,
70,2512,publish,قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟,law-of-attraction-quantum,https://qpedia.ir/law-of-attraction-quantum/,2026-09-06 00:53:19,حفظ,قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience,,
71,2513,publish,نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد,nobel-physics-2025,https://qpedia.ir/nobel-physics-2025/,2026-09-06 00:53:19,حفظ,نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,
72,2514,publish,روز کیو چیست و واقعاً کِی می رسد؟,q-day,https://qpedia.ir/q-day/,2026-09-06 00:53:19,حفظ,روز کیو چیست و واقعاً کِی می رسد؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future,,
