new_sequence,sequence,post_id,revised_title,slug,url,mother_category,main_category,public_subcategory,public_subcategory_slug
22,22,310,تفسیر کپنهاگی,copenhagen-interpretation,https://qpedia.ir/copenhagen-interpretation/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
23,23,311,تفسیر جهان‌های موازی,many-worlds-interpretation,https://qpedia.ir/many-worlds-interpretation/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses
24,24,312,کیوبیت چیست؟ چرا «بیت کوانتومی» یک بیت بهتر نیست؟,qubit,https://qpedia.ir/qubit/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,رایانش، الگوریتم‌ها و محدودیت‌های کوانتومی,quantum-computing-algorithms-limitations
25,25,313,لیزر چطور کار می‌کند؟,how-lasers-work,https://qpedia.ir/how-lasers-work/,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,نور، لیزر و فوتونیک کوانتومی,quantum-light-lasers-photonics
26,26,314,ترانزیستور؛ کوانتوم در جیب شما,transistor-quantum,https://qpedia.ir/transistor-quantum/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology
27,27,315,ساعت اتمی و جی‌پی‌اس,atomic-clock-gps,https://qpedia.ir/atomic-clock-gps/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,سنجش، زمان‌سنجی و ناوبری,quantum-sensing-time-navigation
28,28,316,«همه‌چیز انرژی است» — بررسی یک ادعا,everything-is-energy-claim,https://qpedia.ir/everything-is-energy-claim/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience
29,29,320,تونل‌زنی کوانتومی در آنزیم‌ها؛ چه شواهدی داریم؟,enzyme-quantum-tunneling,https://qpedia.ir/enzyme-quantum-tunneling/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی، زیست‌شناسی، مغز و کوانتوم,quantum-chemistry-biology-brain
30,30,321,آیا مغز کوانتومی است؟,is-the-brain-quantum,https://qpedia.ir/is-the-brain-quantum/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی، زیست‌شناسی، مغز و کوانتوم,quantum-chemistry-biology-brain
31,31,511,کوانتوم و پزشکی,quantum-alternative-medicine-science,https://qpedia.ir/quantum-alternative-medicine-science/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی و ارزیابی ادعاهای درمانی,quantum-medicine-claims
32,32,514,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,mri-quantum,https://qpedia.ir/mri-quantum/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی و ارزیابی ادعاهای درمانی,quantum-medicine-claims
33,33,518,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,spot-pseudoscience-one-sentence,https://qpedia.ir/spot-pseudoscience-one-sentence/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience
34,34,545,تله پورت کوانتومی چیست؟,quantum-teleportation,https://qpedia.ir/quantum-teleportation/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط، تله‌پورت و شبکه کوانتومی,quantum-communication-teleportation-networks
35,35,564,آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,does-quantum-prove-god,https://qpedia.ir/does-quantum-prove-god/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses
36,39,2236,کنفرانس سولوی ۱۹۲۷ چه بود؟,solvay-conference-1927,https://qpedia.ir/solvay-conference-1927/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
37,40,2239,آزمایش آسپه ۱۹۸۲ چه بود؟,aspect-experiment-1982,https://qpedia.ir/aspect-experiment-1982/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
38,41,2241,صفر مطلق چیست؟,absolute-zero,https://qpedia.ir/absolute-zero/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
39,42,2242,واپاشی آلفا چیست؟,alpha-decay,https://qpedia.ir/alpha-decay/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
40,44,2478,اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,holographic-principle,https://qpedia.ir/holographic-principle/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses
41,45,2479,رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,post-quantum-cryptography,https://qpedia.ir/post-quantum-cryptography/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و امنیت در عصر کوانتوم,quantum-cryptography-security
42,46,2480,شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,quantum-chemistry,https://qpedia.ir/quantum-chemistry/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی، زیست‌شناسی، مغز و کوانتوم,quantum-chemistry-biology-brain
43,47,2481,چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟,quantum-classical-boundary,https://qpedia.ir/quantum-classical-boundary/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
44,48,2482,داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,quantum-darwinism,https://qpedia.ir/quantum-darwinism/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
45,49,2483,کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟,quantum-free-will,https://qpedia.ir/quantum-free-will/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness
46,50,2484,گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک,quantum-gravity,https://qpedia.ir/quantum-gravity/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش، فضا–زمان و سیاه‌چاله‌ها,gravity-spacetime-black-holes
47,51,2485,شفای کوانتومی؛ چرا این ادعا شبه علم است؟,quantum-healing-debunked,https://qpedia.ir/quantum-healing-debunked/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی و ارزیابی ادعاهای درمانی,quantum-medicine-claims
48,52,2486,نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,string-theory-quantum,https://qpedia.ir/string-theory-quantum/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش، فضا–زمان و سیاه‌چاله‌ها,gravity-spacetime-black-holes
49,53,2487,کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود,time-crystal,https://qpedia.ir/time-crystal/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases
50,54,2489,نوبل فیزیک ۲۰۲۳؛ پالس‌های آتوثانیه‌ای و حرکت الکترون‌ها,attosecond-nobel-2023,https://qpedia.ir/attosecond-nobel-2023/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,جایزه‌ها و دستاوردهای علمی,quantum-awards-scientific-achievements
51,55,2490,پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,ibm-condor-processor,https://qpedia.ir/ibm-condor-processor/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
52,56,2491,پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,pet-scan-antimatter,https://qpedia.ir/pet-scan-antimatter/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی و ارزیابی ادعاهای درمانی,quantum-medicine-claims
53,58,2493,افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,quantum-fluctuations-cosmos,https://qpedia.ir/quantum-fluctuations-cosmos/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe
54,59,2494,اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,quantum-internet-satellite,https://qpedia.ir/quantum-internet-satellite/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط، تله‌پورت و شبکه کوانتومی,quantum-communication-teleportation-networks
55,60,2495,یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها,quantum-machine-learning,https://qpedia.ir/quantum-machine-learning/,اطلاعات و فناوری کوانتومی,هوش مصنوعی و یادگیری ماشین کوانتومی,هوش مصنوعی کوانتومی؛ مبانی و محدودیت‌ها,quantum-ai-foundations-limitations
56,61,2496,رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,quantum-radar,https://qpedia.ir/quantum-radar/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,سنجش، زمان‌سنجی و ناوبری,quantum-sensing-time-navigation
57,62,2497,مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,quantum-spin-liquid,https://qpedia.ir/quantum-spin-liquid/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و مواد کوانتومی,superconductivity-quantum-materials
58,63,2498,ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,quantum-thermodynamics,https://qpedia.ir/quantum-thermodynamics/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
59,64,2500,پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,black-hole-information-paradox,https://qpedia.ir/black-hole-information-paradox/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش، فضا–زمان و سیاه‌چاله‌ها,gravity-spacetime-black-holes
60,65,2501,چرا تله پورت انسان از نظر علمی غیرممکن است؟,human-teleportation,https://qpedia.ir/human-teleportation/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط، تله‌پورت و شبکه کوانتومی,quantum-communication-teleportation-networks
61,67,2503,بهترین مستندهای فیزیک کوانتوم که باید ببینید,quantum-documentaries,https://qpedia.ir/quantum-documentaries/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
62,68,2504,فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,quantum-physics-in-movies-ant-man,https://qpedia.ir/quantum-physics-in-movies-ant-man/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future
63,69,2505,آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,quantum-time-travel,https://qpedia.ir/quantum-time-travel/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness
64,70,2512,قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟,law-of-attraction-quantum,https://qpedia.ir/law-of-attraction-quantum/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience
65,71,2513,نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد,nobel-physics-2025,https://qpedia.ir/nobel-physics-2025/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,جایزه‌ها و دستاوردهای علمی,quantum-awards-scientific-achievements
66,72,2514,روز کیو چیست و واقعاً کِی می رسد؟,q-day,https://qpedia.ir/q-day/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future
67,73,2515,نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست,quantum-dots-displays,https://qpedia.ir/quantum-dots-displays/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology
68,74,2516,تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟,willow-chip,https://qpedia.ir/willow-chip/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
69,75,2520,الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است,harvest-now-decrypt-later,https://qpedia.ir/harvest-now-decrypt-later/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و امنیت در عصر کوانتوم,quantum-cryptography-security
70,76,2521,آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟,bitcoin-quantum-threat,https://qpedia.ir/bitcoin-quantum-threat/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و امنیت در عصر کوانتوم,quantum-cryptography-security
71,77,2522,پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟,quantum-eraser,https://qpedia.ir/quantum-eraser/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
72,78,2523,پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟,moore-law-quantum-limit,https://qpedia.ir/moore-law-quantum-limit/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future
73,79,2524,صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز,quantum-century-2025,https://qpedia.ir/quantum-century-2025/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
74,80,2527,مولد عدد تصادفی کوانتومی؛ آیا تصادف بنیادی قابل استفاده است؟,quantum-random-number-generator,https://qpedia.ir/quantum-random-number-generator/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty
75,81,2528,ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی,room-temperature-superconductor,https://qpedia.ir/room-temperature-superconductor/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و مواد کوانتومی,superconductivity-quantum-materials
76,82,2529,انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان,zero-point-energy-scam,https://qpedia.ir/zero-point-energy-scam/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience
77,83,2530,حباب هیجان کوانتومی؛ چقدرش واقعی است؟,quantum-hype-bubble,https://qpedia.ir/quantum-hype-bubble/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience
78,84,2531,آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست,quantum-annealing-dwave,https://qpedia.ir/quantum-annealing-dwave/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
79,85,2533,پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی,josephson-junction,https://qpedia.ir/josephson-junction/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و مواد کوانتومی,superconductivity-quantum-materials
80,86,2534,ناوبری کوانتومی؛ مسیریابی بدون ماهواره,quantum-navigation,https://qpedia.ir/quantum-navigation/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,سنجش، زمان‌سنجی و ناوبری,quantum-sensing-time-navigation
81,87,2535,پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟,wigner-friend,https://qpedia.ir/wigner-friend/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
82,88,2536,جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟,quantum-immortality,https://qpedia.ir/quantum-immortality/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness
83,89,2537,آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی,simulation-hypothesis-quantum,https://qpedia.ir/simulation-hypothesis-quantum/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses
84,90,2741,گلوئون و بوزون W و Z؛ چسب هسته و واپاشی,gluon-w-z-bosons,https://qpedia.ir/gluon-w-z-bosons/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
85,91,2742,میون و تاو؛ پسرعموهای سنگین الکترون,muon-and-tau,https://qpedia.ir/muon-and-tau/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
86,95,2747,نوبل فیزیک ۲۰۱۲؛ یک ذره را گرفتند و نکشتند,nobel-physics-2012,https://qpedia.ir/nobel-physics-2012/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,جایزه‌ها و دستاوردهای علمی,quantum-awards-scientific-achievements
87,96,2748,نوبل فیزیک ۲۰۲۲؛ درهم تنیدگی دیگر فلسفه نیست,nobel-physics-2022,https://qpedia.ir/nobel-physics-2022/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,جایزه‌ها و دستاوردهای علمی,quantum-awards-scientific-achievements
88,97,2749,آزمایش بل بدون حفره ۲۰۱۵ چه بود؟,loophole-free-bell-test,https://qpedia.ir/loophole-free-bell-test/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
89,98,2750,انتخاب تأخیری ویلر؛ فوتون از قبل تصمیم نگرفته,wheeler-delayed-choice,https://qpedia.ir/wheeler-delayed-choice/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
90,102,2755,محاسبه با اندازه گیری؛ کامپیوتر یک طرفه,measurement-based-quantum-computing,https://qpedia.ir/measurement-based-quantum-computing/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,رایانش، الگوریتم‌ها و محدودیت‌های کوانتومی,quantum-computing-algorithms-limitations
91,104,2757,اثر آهارونوف-بوهم؛ فاز بدون میدان محلی,aharonov-bohm-effect,https://qpedia.ir/aharonov-bohm-effect/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
92,110,2764,کریستال درمانی؛ سنگ شفا نمی دهد,crystal-healing-debunked,https://qpedia.ir/crystal-healing-debunked/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی و ارزیابی ادعاهای درمانی,quantum-medicine-claims
93,111,2765,هوش مصنوعی کوانتومی؛ بیشترش برچسب است,quantum-ai-marketing-hype,https://qpedia.ir/quantum-ai-marketing-hype/,اطلاعات و فناوری کوانتومی,هوش مصنوعی و یادگیری ماشین کوانتومی,هوش مصنوعی کوانتومی؛ مبانی و محدودیت‌ها,quantum-ai-foundations-limitations
94,113,2835,ماکس بورن و تفسیر احتمالاتی؛ مربع تابع موج چه می گوید؟,born-probability,https://qpedia.ir/born-probability/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
95,118,2859,تاریخ صد ساله فیزیک کوانتوم,quantum-history,https://qpedia.ir/quantum-history/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
96,120,2866,مایکروسافت و کیوبیت های توپولوژیک مایورانا,majorana-topological,https://qpedia.ir/majorana-topological/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
97,121,301,گربه شرودینگر؛ آزمایش فکری درباره اندازه‌گیری کوانتومی,schrodinger-cat,https://qpedia.ir/schrodinger-cat/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
