post_id,slug,url,status,title,title_len,meta_len,focus_kw,words,sentences,paragraphs,reading_time_min,h2_count,h3_count,has_sources_head,has_faq,has_summary,has_misconception,has_lead,img_total,img_missing_alt,img_empty_alt,img_bad_name,featured_set,featured_alt,featured_w,featured_h,internal_unique,external_unique,broken_n,draft_targets_n,authority_hits,inbound,schema,pubDate,post_date,post_modified,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_total,grade,issue_n,issue_high,issue_weight,fix_priority
295,planck-constant,https://qpedia.ir/planck-constant/,publish,ثابت پلانک؛ کوچک‌ترین واحد جهان,31,133,ثابت پلانک کوچک ترین واحد,957,73,28,4.8,7,5,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,6,False,"Thu, 03 Sep 2026 00:04:46 +0000",2026-09-03 03:34:46,2026-09-03 03:34:51,16,5,16,15,8,8,4,72,yellow,9,0,19,54.6
288,wave-particle-duality,https://qpedia.ir/wave-particle-duality/,publish,دوگانگی موج و ذره,17,130,دوگانگی موج ذره,1040,86,31,5.2,7,7,False,False,True,False,True,0,0,0,0,True,True,1672,941,0,0,0,0,0,11,False,"Thu, 03 Sep 2026 00:12:05 +0000",2026-09-03 03:42:05,2026-09-18 02:16:25,16,5,16,15,8,8,4,72,yellow,9,0,19,54.6
2242,alpha-decay,https://qpedia.ir/alpha-decay/,publish,واپاشی آلفا چیست؟,17,155,واپاشی آلفا,473,34,11,2.4,7,0,True,True,True,False,False,0,0,0,0,True,True,1670,941,4,1,1,0,1,0,False,"Thu, 03 Sep 2026 17:02:34 +0000",2026-09-03 20:32:34,2026-09-19 05:00:34,16,9,16,15,10,6,2,74,yellow,8,2,22,54.6
2097,why-quantum-math-works,https://qpedia.ir/why-quantum-math-works/,publish,چرا ریاضیات کوانتوم درست است ولی فهمش سخت است؟,46,101,ریاضیات کوانتوم درست ولی فهمش,894,49,0,4.5,7,0,True,True,False,False,False,0,0,0,0,False,False,0,0,6,3,0,0,2,1,False,"Wed, 02 Sep 2026 23:09:33 +0000",2026-09-03 02:39:33,2026-09-03 02:39:33,15,5,18,7,16,8,0,69,yellow,7,1,15,54.2
560,is-classical-physics-wrong,https://qpedia.ir/is-classical-physics-wrong/,publish,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,42,110,فیزیک کلاسیک اشتباه نه، محدود,980,60,16,4.9,7,0,True,True,False,False,False,0,0,0,0,True,True,1672,941,6,0,0,0,0,0,False,"Wed, 02 Sep 2026 23:16:34 +0000",2026-09-03 02:46:34,2026-09-03 02:46:35,15,5,16,15,13,6,0,70,yellow,8,0,16,54.0
3340,quantum-fingerprinting,https://qpedia.ir/quantum-fingerprinting/,publish,انگشت‌نگاری کوانتومی؛ مقایسه داده با پیام بسیار کوتاه,53,137,انگشت‌نگاری کوانتومی,361,33,17,1.8,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,4,0,True,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,18,8,18,15,9,6,2,76,yellow,7,3,25,54.0
3389,quantum-fiction,https://qpedia.ir/quantum-fiction/,publish,داستان علمی‌تخیلی کوانتومی؛ روایت جهان‌های ممکن بدون تحریف علم,62,130,داستان علمی‌تخیلی کوانتومی,390,32,17,1.9,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,4,0,True,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,18,8,18,15,9,6,2,76,yellow,7,3,25,54.0
318,bird-quantum-compass,https://qpedia.ir/bird-quantum-compass/,publish,قطب‌نمای پرندگان,16,113,قطب نمای پرندگان,829,52,27,4.1,7,6,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,3,False,"Wed, 02 Sep 2026 23:48:13 +0000",2026-09-03 03:18:13,2026-09-03 03:18:13,15,7,14,15,8,8,4,71,yellow,8,0,16,52.2
305,superconductivity,https://qpedia.ir/superconductivity/,publish,ابررسانایی,10,114,ابررسانایی,880,74,31,4.4,7,6,False,False,True,False,True,0,0,0,0,True,True,1671,941,0,0,0,0,0,21,False,"Thu, 03 Sep 2026 00:15:19 +0000",2026-09-03 03:45:19,2026-09-18 02:44:59,14,8,14,15,8,8,4,71,yellow,8,0,16,52.2
2247,flash-memory,https://qpedia.ir/flash-memory/,publish,حافظهٔ فلش چطور کار می‌کند؟,27,157,حافظهٔ فلش چطور کار می,519,31,11,2.6,8,0,True,True,True,False,False,0,0,0,0,True,True,1671,941,5,1,1,0,1,2,False,"Thu, 03 Sep 2026 17:01:16 +0000",2026-09-03 20:31:16,2026-09-03 20:31:16,16,7,16,15,10,8,2,74,yellow,7,2,19,50.7
2260,genetic-mutation,https://qpedia.ir/genetic-mutation/,publish,آیا جهش ژنتیکی کوانتومی است؟,28,158,جهش ژنتیکی کوانتومی,473,27,11,2.4,8,0,True,True,True,False,False,0,0,0,0,True,True,1670,942,4,1,1,0,1,2,False,"Thu, 03 Sep 2026 17:01:16 +0000",2026-09-03 20:31:16,2026-09-19 04:40:07,16,7,16,15,10,8,2,74,yellow,7,2,19,50.7
553,bell-experiments,https://qpedia.ir/bell-experiments/,publish,آزمایش های بل: چگونه درهم تنیدگی اثبات شد!,42,97,آزمایش های بل درهم تنیدگی,1568,82,20,7.8,8,0,True,True,False,False,False,0,0,0,0,True,True,1671,941,6,0,0,0,0,7,False,"Wed, 02 Sep 2026 23:35:05 +0000",2026-09-03 03:05:05,2026-09-03 03:05:06,13,5,18,15,13,8,0,72,yellow,8,0,16,50.4
309,bell-inequality,https://qpedia.ir/bell-inequality/,publish,نامساوی بل,10,121,نامساوی بل,831,61,30,4.2,8,6,False,False,True,False,True,0,0,0,0,True,True,1671,941,0,0,0,0,0,23,False,"Wed, 02 Sep 2026 23:51:12 +0000",2026-09-03 03:21:12,2026-09-03 03:21:13,15,8,14,15,8,8,4,72,yellow,8,0,16,50.4
3412,quantum-cell-signaling,https://qpedia.ir/quantum-cell-signaling/,publish,پیام‌رسانی سلولی و کوانتوم؛ کجا شیمی کوانتومی تمام می‌شود و ادعای بزرگ آغاز؟,76,135,پیام‌رسانی سلولی کوانتومی,388,32,17,1.9,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,3,4,0,0,4,0,True,"Mon, 21 Sep 2026 05:44:55 +0000",2026-09-21 09:14:55,2026-09-21 09:14:55,14,5,18,15,16,6,2,76,yellow,8,1,22,50.4
572,quantum-physics-vs-quantum-mechanics,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,publish,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,43,118,تفاوت فیزیک کوانتوم مکانیک کوانتومی,708,36,11,3.5,6,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,4,0,0,0,0,2,False,"Tue, 01 Sep 2026 05:31:13 +0000",2026-09-01 09:01:13,2026-09-18 02:47:54,15,5,14,15,13,8,0,70,yellow,7,0,13,49.5
573,coin-vs-dice-quantum-uncertainty,https://qpedia.ir/coin-vs-dice-quantum-uncertainty/,publish,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,59,109,تمثیل تاس مقابل تمثیل سکه,761,44,12,3.8,6,0,True,True,False,False,False,0,0,0,0,True,True,1672,940,4,0,0,0,0,1,False,"Tue, 01 Sep 2026 05:31:13 +0000",2026-09-01 09:01:13,2026-09-03 02:59:42,15,5,14,15,13,8,0,70,yellow,7,0,13,49.5
571,determinism-vs-probability,https://qpedia.ir/determinism-vs-probability/,publish,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,39,112,تفاوت جبرگرایی کلاسیک احتمال کوانتومی,833,43,11,4.2,6,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,4,0,0,0,0,1,False,"Wed, 02 Sep 2026 23:28:03 +0000",2026-09-03 02:58:03,2026-09-03 02:58:04,15,5,14,15,13,8,0,70,yellow,7,0,13,49.5
3379,wormhole,https://qpedia.ir/wormhole/,publish,کرم‌چاله؛ میان‌بُر فضا–زمان میان ریاضیات و واقعیت,49,121,کرم‌چاله,396,31,17,2.0,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,4,0,True,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,18,10,18,15,9,6,2,78,yellow,7,3,25,49.5
301,schrodinger-cat,https://qpedia.ir/schrodinger-cat/,publish,گربهٔ شرودینگر,14,114,گربهٔ شرودینگر,721,55,25,3.6,6,5,False,False,True,False,True,0,0,0,0,True,True,1671,941,0,0,0,0,0,13,False,"Sat, 22 Aug 2026 20:59:03 +0000",2026-08-23 00:29:03,2026-09-18 02:11:34,15,8,14,15,8,8,4,72,yellow,7,0,15,49.0
308,bohr-atomic-model,https://qpedia.ir/bohr-atomic-model/,publish,مدل اتمی بور,12,105,مدل اتمی بور,762,57,28,3.8,6,7,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,7,False,"Sat, 22 Aug 2026 22:03:42 +0000",2026-08-23 01:33:42,2026-09-03 03:53:06,15,8,14,15,8,8,4,72,yellow,7,0,15,49.0
311,many-worlds-interpretation,https://qpedia.ir/many-worlds-interpretation/,publish,تفسیر جهان‌های موازی,20,109,تفسیر جهان های موازی,823,70,32,4.1,8,8,False,False,True,False,True,0,0,0,0,True,True,1670,941,0,0,0,0,0,11,False,"Wed, 02 Sep 2026 23:52:45 +0000",2026-09-03 03:22:45,2026-09-03 03:22:45,15,8,14,15,8,8,4,72,yellow,7,0,15,49.0
313,how-lasers-work,https://qpedia.ir/how-lasers-work/,publish,لیزر چطور کار می‌کند؟,21,101,لیزر چطور کار می,843,64,29,4.2,8,7,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,10,False,"Wed, 02 Sep 2026 23:53:50 +0000",2026-09-03 03:23:50,2026-09-03 03:23:51,15,8,14,15,8,8,4,72,yellow,7,0,15,49.0
321,is-the-brain-quantum,https://qpedia.ir/is-the-brain-quantum/,publish,آیا مغز کوانتومی است؟,21,107,مغز کوانتومی,877,65,35,4.4,7,10,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,6,False,"Wed, 02 Sep 2026 23:50:41 +0000",2026-09-03 03:20:41,2026-09-03 03:20:42,15,8,14,15,8,8,4,72,yellow,7,0,15,49.0
300,photoelectric-effect,https://qpedia.ir/photoelectric-effect/,publish,اثر فوتوالکتریک,15,107,اثر فوتوالکتریک,744,55,24,3.7,6,5,False,False,True,False,True,0,0,0,0,True,True,1671,941,0,0,0,0,0,10,False,"Thu, 03 Sep 2026 00:19:03 +0000",2026-09-03 03:49:03,2026-09-18 02:40:29,15,8,14,15,8,8,4,72,yellow,7,0,15,49.0
304,casimir-effect,https://qpedia.ir/casimir-effect/,publish,اثر کازیمیر,11,107,اثر کازیمیر,918,74,31,4.6,8,5,False,False,True,False,True,0,0,0,0,True,True,1672,940,0,0,0,0,0,7,False,"Sat, 22 Aug 2026 20:59:03 +0000",2026-08-23 00:29:03,2026-09-03 03:45:44,14,8,16,15,8,8,4,73,yellow,8,0,16,48.6
563,does-ai-use-quantum,https://qpedia.ir/does-ai-use-quantum/,publish,آیا هوش مصنوعی از کوانتوم استفاده می کند؟,41,129,هوش مصنوعی کوانتوم استفاده می,885,49,12,4.4,6,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,3,0,0,0,0,4,False,"Wed, 02 Sep 2026 23:20:33 +0000",2026-09-03 02:50:33,2026-09-03 02:50:34,16,5,14,15,13,8,0,71,yellow,7,0,13,47.8
559,entanglement-myths,https://qpedia.ir/entanglement-myths/,publish,آیا درهم تنیدگی یعنی اطلاعات سریع تر از نور منتقل می شود؟,57,111,درهم تنیدگی اطلاعات سریع تر,1119,67,17,5.6,7,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,6,0,0,0,0,3,False,"Wed, 02 Sep 2026 23:40:43 +0000",2026-09-03 03:10:43,2026-09-03 03:10:44,15,5,16,15,13,8,0,72,yellow,7,0,13,46.2
565,is-many-worlds-real,https://qpedia.ir/is-many-worlds-real/,publish,آیا کوانتوم یعنی چندجهانی واقعی است؟,36,112,کوانتوم چندجهانی واقعی,962,54,15,4.8,7,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,4,0,0,0,0,2,False,"Wed, 02 Sep 2026 23:22:30 +0000",2026-09-03 02:52:30,2026-09-03 02:52:30,15,5,16,15,13,8,0,72,yellow,7,0,13,46.2
568,einstein-photoelectric-effect,https://qpedia.ir/einstein-photoelectric-effect/,publish,اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),40,106,اینشتین اثر فوتوالکتریک (نه فقط,926,45,14,4.6,7,0,True,True,False,False,False,0,0,0,0,True,True,1671,941,5,0,0,0,0,1,False,"Wed, 02 Sep 2026 23:41:09 +0000",2026-09-03 03:11:09,2026-09-03 03:11:10,15,5,16,15,13,8,0,72,yellow,7,0,13,46.2
3336,quantum-lithography,https://qpedia.ir/quantum-lithography/,publish,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,58,140,لیتوگرافی کوانتومی,391,31,17,2.0,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,4,0,True,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,18,10,18,15,9,6,2,78,yellow,6,3,22,46.2
3387,quantum-music,https://qpedia.ir/quantum-music/,publish,موسیقی کوانتومی؛ از دادهٔ آزمایش تا صدا و آهنگ‌سازی,51,132,موسیقی کوانتومی,393,32,17,2.0,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,2,0,True,"Mon, 21 Sep 2026 01:17:39 +0000",2026-09-21 04:47:39,2026-09-21 04:47:39,18,10,18,15,9,6,2,78,yellow,6,3,22,46.2
3342,quantum-auction,https://qpedia.ir/quantum-auction/,publish,مزایده کوانتومی؛ پیشنهادهای درهم‌نهیده یا صرفاً یک مدل نظری؟,60,141,مزایده کوانتومی,358,32,17,1.8,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,4,0,True,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,18,10,18,15,9,6,2,78,yellow,6,3,22,46.2
