number,post_id,status,title,slug,url,post_date
26,314,publish,ترانزیستور؛ کوانتوم در جیب شما,transistor-quantum,https://qpedia.ir/transistor-quantum/,2026-09-03 03:25:00
27,315,publish,ساعت اتمی و جی‌پی‌اس,atomic-clock-gps,https://qpedia.ir/atomic-clock-gps/,2026-09-03 03:25:44
28,316,publish,«همه‌چیز انرژی است» — بررسی یک ادعا,everything-is-energy-claim,https://qpedia.ir/everything-is-energy-claim/,2026-08-23 01:33:42
29,320,publish,آنزیم‌ها؛ عبور از دیوار به‌جای پریدن,enzyme-quantum-tunneling,https://qpedia.ir/enzyme-quantum-tunneling/,2026-08-23 01:53:18
30,321,publish,آیا مغز کوانتومی است؟,is-the-brain-quantum,https://qpedia.ir/is-the-brain-quantum/,2026-09-03 03:20:41
31,511,publish,کوانتوم و پزشکی,quantum-alternative-medicine-science,https://qpedia.ir/quantum-alternative-medicine-science/,2026-09-03 03:29:13
32,514,publish,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,mri-quantum,https://qpedia.ir/mri-quantum/,2026-09-03 03:29:58
33,518,publish,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,spot-pseudoscience-one-sentence,https://qpedia.ir/spot-pseudoscience-one-sentence/,2026-09-03 03:13:24
34,545,publish,تله پورت کوانتومی چیست؟,quantum-teleportation,https://qpedia.ir/quantum-teleportation/,2026-09-01 04:03:21
35,564,publish,آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,does-quantum-prove-god,https://qpedia.ir/does-quantum-prove-god/,2026-09-03 03:03:59
36,568,publish,اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),einstein-photoelectric-effect,https://qpedia.ir/einstein-photoelectric-effect/,2026-09-03 03:11:09
37,2090,publish,زنان فراموش‌شدهٔ فیزیک کوانتوم,forgotten-women-quantum,https://qpedia.ir/forgotten-women-quantum/,2026-09-02 21:06:28
38,2091,publish,شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت,schrodinger-life-equation,https://qpedia.ir/schrodinger-life-equation/,2026-09-03 02:43:49
39,2236,publish,کنفرانس سولوی ۱۹۲۷ چه بود؟,solvay-conference-1927,https://qpedia.ir/solvay-conference-1927/,2026-09-03 20:32:34
40,2239,publish,آزمایش آسپه ۱۹۸۲ چه بود؟,aspect-experiment-1982,https://qpedia.ir/aspect-experiment-1982/,2026-09-03 20:32:34
41,2241,publish,صفر مطلق چیست؟,absolute-zero,https://qpedia.ir/absolute-zero/,2026-09-03 20:32:34
42,2242,publish,واپاشی آلفا چیست؟,alpha-decay,https://qpedia.ir/alpha-decay/,2026-09-03 20:32:34
43,2243,publish,گسیل تحریکی چیست؟,stimulated-emission,https://qpedia.ir/stimulated-emission/,2026-09-03 20:32:34
44,2478,publish,اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,holographic-principle,https://qpedia.ir/holographic-principle/,2026-09-05 22:39:44
45,2479,publish,رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,post-quantum-cryptography,https://qpedia.ir/post-quantum-cryptography/,2026-09-05 22:39:44
46,2480,publish,شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,quantum-chemistry,https://qpedia.ir/quantum-chemistry/,2026-09-05 22:39:44
47,2481,publish,چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟,quantum-classical-boundary,https://qpedia.ir/quantum-classical-boundary/,2026-09-05 22:39:44
48,2482,publish,داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,quantum-darwinism,https://qpedia.ir/quantum-darwinism/,2026-09-05 22:39:44
49,2483,publish,کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟,quantum-free-will,https://qpedia.ir/quantum-free-will/,2026-09-05 22:39:44
50,2484,publish,گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک,quantum-gravity,https://qpedia.ir/quantum-gravity/,2026-09-05 22:39:44
51,2485,publish,شفای کوانتومی؛ چرا این ادعا شبه علم است؟,quantum-healing-debunked,https://qpedia.ir/quantum-healing-debunked/,2026-09-05 22:39:44
52,2486,publish,نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,string-theory-quantum,https://qpedia.ir/string-theory-quantum/,2026-09-05 22:39:44
53,2487,publish,کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود,time-crystal,https://qpedia.ir/time-crystal/,2026-09-05 22:39:44
54,2489,publish,نوبل فیزیک ۲۰۲۳؛ عکاسی از حرکت الکترون,attosecond-nobel-2023,https://qpedia.ir/attosecond-nobel-2023/,2026-09-05 23:05:17
55,2490,publish,پردازندهٔ IBM Condor؛ چرا هزار کیوبیت کافی نیست,ibm-condor-processor,https://qpedia.ir/ibm-condor-processor/,2026-09-05 23:05:17
56,2491,publish,پادماده در پزشکی؛ اسکن پت چطور کار می کند؟,pet-scan-antimatter,https://qpedia.ir/pet-scan-antimatter/,2026-09-05 23:05:17
57,2492,publish,باتری کوانتومی؛ چرا بزرگ تر یعنی سریع تر؟,quantum-battery,https://qpedia.ir/quantum-battery/,2026-09-05 23:05:17
58,2493,publish,افت وخیز کوانتومی؛ چطور کهکشان ها متولد شدند؟,quantum-fluctuations-cosmos,https://qpedia.ir/quantum-fluctuations-cosmos/,2026-09-05 23:05:17
59,2494,publish,اینترنت کوانتومی فضایی؛ ماجرای ماهوارهٔ میسیوس,quantum-internet-satellite,https://qpedia.ir/quantum-internet-satellite/,2026-09-05 23:05:17
60,2495,publish,یادگیری ماشین کوانتومی؛ وعده ها و واقعیت ها,quantum-machine-learning,https://qpedia.ir/quantum-machine-learning/,2026-09-05 23:05:17
61,2496,publish,رادار کوانتومی؛ آیا جنگندهٔ رادارگریز را می بیند؟,quantum-radar,https://qpedia.ir/quantum-radar/,2026-09-05 23:05:17
62,2497,publish,مایع اسپینی کوانتومی؛ ماده ای که هرگز آرام نمی گیرد,quantum-spin-liquid,https://qpedia.ir/quantum-spin-liquid/,2026-09-05 23:05:17
63,2498,publish,ترمودینامیک کوانتومی؛ موتوری به اندازهٔ یک اتم,quantum-thermodynamics,https://qpedia.ir/quantum-thermodynamics/,2026-09-05 23:05:17
64,2500,publish,پارادوکس اطلاعات سیاه چاله؛ معمای هاوکینگ,black-hole-information-paradox,https://qpedia.ir/black-hole-information-paradox/,2026-09-05 23:25:55
65,2501,publish,چرا تله پورت انسان از نظر علمی غیرممکن است؟,human-teleportation,https://qpedia.ir/human-teleportation/,2026-09-05 23:25:55
66,2502,publish,ده دیدگاه فیزیکدانان بزرگ دربارهٔ عجایب کوانتوم,physicists-on-quantum-weirdness,https://qpedia.ir/physicists-on-quantum-weirdness/,2026-09-05 23:25:55
67,2503,publish,بهترین مستندهای فیزیک کوانتوم که باید ببینید,quantum-documentaries,https://qpedia.ir/quantum-documentaries/,2026-09-05 23:25:55
68,2504,publish,فیزیک کوانتوم در فیلم مرد مورچه ای؛ واقعیت یا تخیل؟,quantum-physics-in-movies-ant-man,https://qpedia.ir/quantum-physics-in-movies-ant-man/,2026-09-05 23:25:55
69,2505,publish,آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,quantum-time-travel,https://qpedia.ir/quantum-time-travel/,2026-09-05 23:25:55
70,2512,publish,قانون جذب و کوانتوم؛ کجای این استدلال می لنگد؟,law-of-attraction-quantum,https://qpedia.ir/law-of-attraction-quantum/,2026-09-06 00:53:19
71,2513,publish,نوبل فیزیک ۲۰۲۵؛ وقتی یک مدار مثل اتم رفتار کرد,nobel-physics-2025,https://qpedia.ir/nobel-physics-2025/,2026-09-06 00:53:19
72,2514,publish,روز کیو چیست و واقعاً کِی می رسد؟,q-day,https://qpedia.ir/q-day/,2026-09-06 00:53:19
73,2515,publish,نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست,quantum-dots-displays,https://qpedia.ir/quantum-dots-displays/,2026-09-06 00:53:19
74,2516,publish,تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟,willow-chip,https://qpedia.ir/willow-chip/,2026-09-06 00:53:19
75,2520,publish,الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است,harvest-now-decrypt-later,https://qpedia.ir/harvest-now-decrypt-later/,2026-09-06 01:32:27
76,2521,publish,آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟,bitcoin-quantum-threat,https://qpedia.ir/bitcoin-quantum-threat/,2026-09-06 01:32:27
77,2522,publish,پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟,quantum-eraser,https://qpedia.ir/quantum-eraser/,2026-09-06 01:32:27
78,2523,publish,پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟,moore-law-quantum-limit,https://qpedia.ir/moore-law-quantum-limit/,2026-09-06 01:32:27
79,2524,publish,صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز,quantum-century-2025,https://qpedia.ir/quantum-century-2025/,2026-09-06 01:32:27
80,2527,publish,عدد تصادفی کوانتومی؛ تنها تصادف واقعی جهان,quantum-random-number-generator,https://qpedia.ir/quantum-random-number-generator/,2026-09-06 02:34:03
81,2528,publish,ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی,room-temperature-superconductor,https://qpedia.ir/room-temperature-superconductor/,2026-09-06 02:34:03
82,2529,publish,انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان,zero-point-energy-scam,https://qpedia.ir/zero-point-energy-scam/,2026-09-06 02:34:03
83,2530,publish,حباب هیجان کوانتومی؛ چقدرش واقعی است؟,quantum-hype-bubble,https://qpedia.ir/quantum-hype-bubble/,2026-09-06 02:34:03
84,2531,publish,آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست,quantum-annealing-dwave,https://qpedia.ir/quantum-annealing-dwave/,2026-09-06 02:34:03
85,2533,publish,پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی,josephson-junction,https://qpedia.ir/josephson-junction/,2026-09-06 02:45:33
86,2534,publish,ناوبری کوانتومی؛ مسیریابی بدون ماهواره,quantum-navigation,https://qpedia.ir/quantum-navigation/,2026-09-06 02:45:33
87,2535,publish,پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟,wigner-friend,https://qpedia.ir/wigner-friend/,2026-09-06 02:45:33
88,2536,publish,جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟,quantum-immortality,https://qpedia.ir/quantum-immortality/,2026-09-06 02:45:33
89,2537,publish,آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی,simulation-hypothesis-quantum,https://qpedia.ir/simulation-hypothesis-quantum/,2026-09-06 02:45:33
90,2741,publish,گلوئون و بوزون W و Z؛ چسب هسته و واپاشی,gluon-w-z-bosons,https://qpedia.ir/gluon-w-z-bosons/,2026-09-09 16:00:31
91,2742,publish,میون و تاو؛ پسرعموهای سنگین الکترون,muon-and-tau,https://qpedia.ir/muon-and-tau/,2026-09-10 07:28:40
92,2744,publish,تونل زنی در میتوکندری؛ الکترون یا پروتون؟,mitochondria-proton-tunneling,https://qpedia.ir/mitochondria-proton-tunneling/,2026-09-14 20:00:35
93,2745,publish,حافظه بلندمدت مغز کوانتومی است؟,quantum-long-term-memory,https://qpedia.ir/quantum-long-term-memory/,2026-09-09 09:53:07
94,2746,publish,آنزیم های ترمیم DNA؛ جهش آخر خط نیست,dna-repair-enzymes,https://qpedia.ir/dna-repair-enzymes/,2026-09-14 20:00:35
95,2747,publish,نوبل فیزیک ۲۰۱۲؛ یک ذره را گرفتند و نکشتند,nobel-physics-2012,https://qpedia.ir/nobel-physics-2012/,2026-09-14 20:00:35
96,2748,publish,نوبل فیزیک ۲۰۲۲؛ درهم تنیدگی دیگر فلسفه نیست,nobel-physics-2022,https://qpedia.ir/nobel-physics-2022/,2026-09-14 20:00:35
97,2749,publish,آزمایش بل بدون حفره ۲۰۱۵ چه بود؟,loophole-free-bell-test,https://qpedia.ir/loophole-free-bell-test/,2026-09-14 20:00:35
98,2750,publish,انتخاب تأخیری ویلر؛ فوتون از قبل تصمیم نگرفته,wheeler-delayed-choice,https://qpedia.ir/wheeler-delayed-choice/,2026-09-14 20:00:35
99,2752,publish,سه جور کیوبیت؛ ابررسانا، یون و فوتون,qubit-types-compared,https://qpedia.ir/qubit-types-compared/,2026-09-14 20:00:35
100,2753,publish,ریپیتر کوانتومی؛ چاپارخانهٔ درهم تنیدگی,quantum-repeater,https://qpedia.ir/quantum-repeater/,2026-09-14 20:00:35
101,2754,publish,پروتکل BB84؛ قفل با فوتون نه با عدد سخت,bb84-protocol,https://qpedia.ir/bb84-protocol/,2026-09-14 20:00:35
102,2755,publish,محاسبه با اندازه گیری؛ کامپیوتر یک طرفه,measurement-based-quantum-computing,https://qpedia.ir/measurement-based-quantum-computing/,2026-09-14 20:00:35
103,2756,publish,الگوریتم HHL؛ حل معادله با قید ریز چاپ,hhl-algorithm,https://qpedia.ir/hhl-algorithm/,2026-09-14 20:00:35
104,2757,publish,اثر آهارونوف-بوهم؛ فاز بدون میدان محلی,aharonov-bohm-effect,https://qpedia.ir/aharonov-bohm-effect/,2026-09-14 20:00:35
105,2758,publish,شکاف لمب؛ دو تراز که نباید جدا می شدند,lamb-shift,https://qpedia.ir/lamb-shift/,2026-09-14 20:00:35
106,2759,publish,ابررسانایی توپولوژیک؛ زوج با گره در لبه,topological-superconductivity,https://qpedia.ir/topological-superconductivity/,2026-09-14 20:00:35
107,2761,publish,تفسیر تراکنشی,transactional-interpretation,https://qpedia.ir/transactional-interpretation/,2026-09-14 20:00:35
108,2762,publish,کیوبیسم؛ احتمال مال شماست نه مال جهان,qbism,https://qpedia.ir/qbism/,2026-09-14 20:00:35
109,2763,publish,فروپاشی عینی؛ گربه بدون ناظر می میرد,objective-collapse,https://qpedia.ir/objective-collapse/,2026-09-14 20:00:35
110,2764,publish,کریستال درمانی؛ سنگ شفا نمی دهد,crystal-healing-debunked,https://qpedia.ir/crystal-healing-debunked/,2026-09-14 20:00:35
111,2765,publish,هوش مصنوعی کوانتومی؛ بیشترش برچسب است,quantum-ai-marketing-hype,https://qpedia.ir/quantum-ai-marketing-hype/,2026-09-14 20:00:35
112,2832,publish,هایزنبرگ؛ نابغه ای که جنگ او را به دو نیم کرد,heisenberg-ww2,https://qpedia.ir/heisenberg-ww2/,2026-09-15 05:32:33
113,2835,publish,ماکس بورن و تفسیر احتمالاتی؛ مربع تابع موج چه می گوید؟,born-probability,https://qpedia.ir/born-probability/,2026-09-15 05:33:29
114,2838,publish,پاولی و اصل طرد؛ چرا دو الکترون مثل هم در یک «اتاق» نمی مانند؟,pauli-exclusion,https://qpedia.ir/pauli-exclusion/,2026-09-15 05:32:02
115,2841,publish,اینشتین و شرودینگر؛ دو دوست که با کوانتوم در افتادند,einstein-schrodinger-reality,https://qpedia.ir/einstein-schrodinger-reality/,2026-09-15 05:32:59
116,2844,publish,تفسیر GRW یا فروپاشی خودبه خودی,grw-collapse,https://qpedia.ir/grw-collapse/,2026-09-15 05:30:35
117,2851,publish,رئالیسم کوانتومی,quantum-realism,https://qpedia.ir/quantum-realism/,2026-09-15 05:40:06
118,2859,publish,تاریخ صد ساله فیزیک کوانتوم,quantum-history,https://qpedia.ir/quantum-history/,2026-09-15 05:34:36
119,2862,publish,حافظه کوانتومی,quantum-memory,https://qpedia.ir/quantum-memory/,2026-09-15 05:37:24
120,2866,publish,مایکروسافت و کیوبیت های توپولوژیک مایورانا,majorana-topological,https://qpedia.ir/majorana-topological/,2026-09-15 05:39:06
121,301,publish,گربهٔ شرودینگر,schrodinger-cat,https://qpedia.ir/schrodinger-cat/,2026-08-23 00:29:03
122,318,publish,قطب‌نمای پرندگان,bird-quantum-compass,https://qpedia.ir/bird-quantum-compass/,2026-09-03 03:18:13
123,319,publish,حس بویایی؛ شکل یا ارتعاش؟,quantum-smell,https://qpedia.ir/quantum-smell/,2026-09-03 03:19:19
124,504,publish,فوتون دقیقا چیست ؟,photon,https://qpedia.ir/photon/,2026-09-03 03:16:46
125,505,publish,الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,electron,https://qpedia.ir/electron/,2026-09-03 03:16:13
126,509,publish,اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,pauli-exclusion-principle,https://qpedia.ir/pauli-exclusion-principle/,2026-09-03 03:15:23
127,512,publish,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,2026-09-03 03:11:54
128,551,publish,آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟,mind-quantum-reality,https://qpedia.ir/mind-quantum-reality/,2026-09-03 03:08:45
129,553,publish,آزمایش های بل: چگونه درهم تنیدگی اثبات شد!,bell-experiments,https://qpedia.ir/bell-experiments/,2026-09-03 03:05:05
130,560,publish,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,is-classical-physics-wrong,https://qpedia.ir/is-classical-physics-wrong/,2026-09-03 02:46:34
131,561,publish,آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟,quantum-interpretation-debate,https://qpedia.ir/quantum-interpretation-debate/,2026-09-03 02:45:45
132,563,publish,آیا هوش مصنوعی از کوانتوم استفاده می کند؟,does-ai-use-quantum,https://qpedia.ir/does-ai-use-quantum/,2026-09-03 02:50:33
133,565,publish,آیا کوانتوم یعنی چندجهانی واقعی است؟,is-many-worlds-real,https://qpedia.ir/is-many-worlds-real/,2026-09-03 02:52:30
134,566,publish,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,quantum-career-future-learn,https://qpedia.ir/quantum-career-future-learn/,2026-09-01 09:01:13
135,567,publish,اصل عدم قطعیت هایزنبرگ به زبان ساده,heisenberg-uncertainty-principle,https://qpedia.ir/heisenberg-uncertainty-principle/,2026-09-01 09:01:13
136,569,publish,برهم نهی چیست؟ وقتی یک ذره «هم این است هم آن»,superposition-explained,https://qpedia.ir/superposition-explained/,2026-09-03 03:01:36
137,570,publish,برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,why-large-objects-dont-superpose,https://qpedia.ir/why-large-objects-dont-superpose/,2026-09-03 02:48:36
138,571,publish,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,determinism-vs-probability,https://qpedia.ir/determinism-vs-probability/,2026-09-03 02:58:03
139,2873,publish,نیلز بور و اصل تکمیل؛ چرا یک چیز هم موج است هم ذره؟,bohr-complementarity,https://qpedia.ir/bohr-complementarity/,2026-09-15 05:27:49
140,3569,publish,قضیهٔ نوسان کوانتومی؛ قانون دوم در مقیاس تک‌رویداد,quantum-fluctuation-theorem,https://qpedia.ir/quantum-fluctuation-theorem/,2026-09-21 04:51:54
141,572,publish,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,quantum-physics-vs-quantum-mechanics,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,2026-09-01 09:01:13
142,573,publish,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,coin-vs-dice-quantum-uncertainty,https://qpedia.ir/coin-vs-dice-quantum-uncertainty/,2026-09-01 09:01:13
143,574,publish,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,quantum-analogy-exercise-boundary,https://qpedia.ir/quantum-analogy-exercise-boundary/,2026-09-01 09:01:13
144,575,publish,چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟,quantum-understanding-achievement,https://qpedia.ir/quantum-understanding-achievement/,2026-09-03 03:02:34
145,2226,publish,عدد کوانتومی چیست؟,quantum-number,https://qpedia.ir/quantum-number/,2026-09-03 19:25:19
146,2227,publish,ناظر در کوانتوم چیست؟,observer,https://qpedia.ir/observer/,2026-09-03 20:31:16
147,2228,publish,اصل مکملیت چیست؟,complementarity-principle,https://qpedia.ir/complementarity-principle/,2026-09-03 20:31:16
148,2230,publish,نوترینو چیست؟,neutrino,https://qpedia.ir/neutrino/,2026-09-03 20:31:16
149,2233,publish,مدل استاندارد چیست؟,standard-model,https://qpedia.ir/standard-model/,2026-09-03 20:31:16
150,2234,publish,ذرات مجازی چیستند؟,virtual-particles,https://qpedia.ir/virtual-particles/,2026-09-03 20:33:07
151,2237,publish,مقالهٔ EPR چیست؟,epr-paradox,https://qpedia.ir/epr-paradox/,2026-09-03 20:33:07
152,2238,publish,آزمایش اشترن-گرلاخ چیست؟,stern-gerlach-experiment,https://qpedia.ir/stern-gerlach-experiment/,2026-09-03 20:33:07
153,2247,publish,حافظهٔ فلش چطور کار می‌کند؟,flash-memory,https://qpedia.ir/flash-memory/,2026-09-03 20:31:16
154,2248,publish,میکروسکوپ تونلی چیست؟,scanning-tunneling-microscope,https://qpedia.ir/scanning-tunneling-microscope/,2026-09-03 20:31:16
155,2249,publish,فیبر نوری چگونه کار می‌کند؟,fiber-optics,https://qpedia.ir/fiber-optics/,2026-09-03 20:31:16
156,2250,publish,برتری کوانتومی چیست؟,quantum-supremacy,https://qpedia.ir/quantum-supremacy/,2026-09-03 20:29:48
157,2251,publish,الگوریتم شور چیست؟,shor-algorithm,https://qpedia.ir/shor-algorithm/,2026-09-03 20:29:57
158,2259,publish,تفسیر دوبروی-بوهم چیست؟,pilot-wave,https://qpedia.ir/pilot-wave/,2026-09-03 20:31:16
159,2260,publish,آیا جهش ژنتیکی کوانتومی است؟,genetic-mutation,https://qpedia.ir/genetic-mutation/,2026-09-03 20:31:16
160,2743,publish,پروتون از چه ساخته شده؟ کوارک کافی نیست,proton-neutron-quark-structure,https://qpedia.ir/proton-neutron-quark-structure/,2026-09-10 16:19:07
161,2751,publish,کامپیوتر توپولوژیک؛ گره ای که خطا را نمی بیند,topological-quantum-computing,https://qpedia.ir/topological-quantum-computing/,2026-09-09 18:02:10
162,2870,publish,شیمی محاسباتی کوانتومی و کشف دارو,quantum-chemistry-drug-discovery,https://qpedia.ir/quantum-chemistry-drug-discovery/,2026-09-15 05:25:23
163,3307,publish,دوران NISQ و محدودیت‌های رایانه‌های کوانتومی کنونی,nisq-era,https://qpedia.ir/nisq-era/,2026-09-19 15:41:41
164,3319,publish,تصویربرداری کوانتومی در تاریکی؛ چگونه هدف پنهان در نویز را پیدا کنیم؟,quantum-illumination,https://qpedia.ir/quantum-illumination/,2026-09-20 02:05:56
165,3321,publish,لیدار کوانتومی چیست و چگونه فاصله را با فوتون‌ها اندازه می‌گیرد؟,quantum-lidar,https://qpedia.ir/quantum-lidar/,2026-09-21 09:14:55
166,3323,publish,چشمهٔ تک‌فوتون چیست و چرا ساخت یک فوتونِ مطمئن دشوار است؟,single-photon-source,https://qpedia.ir/single-photon-source/,2026-09-21 09:14:55
167,3325,publish,چشمهٔ فوتون درهم‌تنیده چگونه جفت‌های کوانتومی تولید می‌کند؟,entangled-photon-source,https://qpedia.ir/entangled-photon-source/,2026-09-21 09:14:55
168,3327,publish,تبدیل پارامتری خودبه‌خودی چیست؟ سازوکار SPDC برای تولید جفت‌فوتون,spontaneous-parametric-down-conversion,https://qpedia.ir/spontaneous-parametric-down-conversion/,2026-09-21 02:49:01
169,3330,publish,شمارش فوتون؛ از کلیک آشکارساز تا آمار نور,photon-counting,https://qpedia.ir/photon-counting/,2026-09-20 19:03:22
170,3332,publish,انسداد فوتونی؛ وقتی یک فوتون راه فوتون بعدی را می‌بندد,photon-blockade,https://qpedia.ir/photon-blockade/,2026-09-21 09:14:54
171,3334,publish,نور کند؛ کنترل سرعت گروهی بدون کندشدن ثابت بنیادی نور,slow-light,https://qpedia.ir/slow-light/,2026-09-21 09:14:54
172,3336,publish,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,quantum-lithography,https://qpedia.ir/quantum-lithography/,2026-09-21 09:14:54
173,3338,publish,ارتباط مستقیم امن کوانتومی؛ ارسال پیام بدون تولید کلید جداگانه,quantum-secure-direct-communication,https://qpedia.ir/quantum-secure-direct-communication/,2026-09-21 09:14:54
