sequence,term,seo_title,meta_description,links,words,category,related,schema
19,اثر زنون کوانتومی,اثر زنون کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,اثر زنون کوانتومی چیست؟ کندشدن تحول یک سامانه کوانتومی بر اثر اندازه‌گیری‌های مناسب و بسیار مکرر است. مثال آن را ببینید.,4,259,مفاهیم پایه,https://qpedia.ir/quantum-zeno-effect/,DefinedTerm
20,اصل مکملیت,اصل مکملیت چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,اصل مکملیت چیست؟ می‌گوید بعضی توصیف‌های ظاهراً ناسازگار کوانتومی در آزمایش‌های متفاوت مکمل یکدیگرند. کاربرد آن را بخوانید.,4,253,مفاهیم پایه,https://qpedia.ir/complementarity-principle/,DefinedTerm
21,قضیه عدم شبیه‌سازی,قضیه عدم شبیه‌سازی چیست؟ تعریف ساده، مثال و کاربردهای مهم,قضیه عدم شبیه‌سازی چیست؟ ساخت نسخه کامل از یک حالت کوانتومی ناشناخته و دلخواه را ناممکن می‌داند. مثال روزمره و مرز تمثیل را ببینید.,4,253,رایانش کوانتومی,https://qpedia.ir/quantum-simulation/,DefinedTerm
22,یکانی بودن,یکانی بودن چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,یکانی بودن چیست؟ ویژگی تحول کوانتومی بسته است که مجموع احتمال را حفظ و تحول را در اصل برگشت‌پذیر می‌کند. مثال آن را ببینید.,4,257,تاریخ و جامعه,https://qpedia.ir/why-quantum-math-works/,DefinedTerm
23,تراز انرژی,تراز انرژی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,تراز انرژی چیست؟ یکی از مقدارهای مجاز انرژی برای یک سامانه کوانتومی مقید است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,247,مفاهیم پایه,https://qpedia.ir/energy-levels/,DefinedTerm
24,حالت پایه,حالت پایه چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,حالت پایه چیست؟ کم‌انرژی‌ترین حالت قابل دسترس یک سامانه کوانتومی است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,251,مفاهیم پایه,https://qpedia.ir/quantum-state/,DefinedTerm
25,حالت برانگیخته,حالت برانگیخته چیست؟ تعریف ساده، مثال و کاربردهای مهم,حالت برانگیخته چیست؟ حالتی کوانتومی با انرژی بیشتر از حالت پایه است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,248,مفاهیم پایه,https://qpedia.ir/energy-levels/,DefinedTerm
26,اسپین کوانتومی,اسپین کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,اسپین کوانتومی چیست؟ تکانه زاویه‌ای ذاتی یک ذره است و نباید آن را چرخش کلاسیکی جسم تصور کرد. مثال روزمره و مرز تمثیل را ببینید.,4,254,مفاهیم پایه,https://qpedia.ir/quantum-spin/,DefinedTerm
27,تکانه زاویه‌ای,تکانه زاویه‌ای چیست؟ تعریف ساده، مثال و کاربردهای مهم,تکانه زاویه‌ای چیست؟ کمیتی فیزیکی برای توصیف حرکت دورانی است که در سامانه‌های کوانتومی مقدارهای گسسته دارد. مثال آن را ببینید.,4,245,مفاهیم پایه,https://qpedia.ir/quantum-number/,DefinedTerm
28,عدد کوانتومی,عدد کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,عدد کوانتومی چیست؟ برچسبی عددی برای مشخص‌کردن ویژگی یا حالت مجاز یک سامانه کوانتومی است. مثال روزمره و مرز تمثیل را ببینید.,4,249,مفاهیم پایه,https://qpedia.ir/quantum-number/,DefinedTerm
29,ذره بنیادی,ذره بنیادی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,ذره بنیادی چیست؟ ذره‌ای است که در مدل استاندارد ساختار درونی شناخته‌شده‌ای ندارد. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,234,ذرات و نیروها,https://qpedia.ir/standard-model/,DefinedTerm
30,شبه‌ذره,شبه‌ذره چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,شبه‌ذره چیست؟ برانگیزش جمعی در ماده است که از نظر محاسباتی مانند یک ذره مستقل رفتار می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,233,مواد کوانتومی,https://qpedia.ir/superconductivity/,DefinedTerm
31,فوتون,فوتون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,فوتون چیست؟ کوانتوم میدان الکترومغناطیسی و حامل برهم‌کنش الکترومغناطیسی است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,230,ذرات و نیروها,https://qpedia.ir/photon/,DefinedTerm
32,الکترون,الکترون چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,الکترون چیست؟ ذره بنیادی با بار منفی است که در ساختار اتم، برق و پیوندهای شیمیایی نقش دارد. مثال روزمره و مرز تمثیل را ببینید.,4,240,ذرات و نیروها,https://qpedia.ir/electron/,DefinedTerm
33,پوزیترون,پوزیترون چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,پوزیترون چیست؟ پادذره الکترون با همان جرم و بار الکتریکی مثبت است. تعریف روان و کاربرد آن را در واژه‌نامهٔ Qpedia بخوانید.,4,227,ذرات و نیروها,https://qpedia.ir/antimatter/,DefinedTerm
34,پروتون,پروتون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,پروتون چیست؟ ذره مرکب با بار مثبت در هسته اتم است که عمدتاً از کوارک و گلوئون ساخته شده است. مثال روزمره و مرز تمثیل را ببینید.,4,244,ذرات و نیروها,https://qpedia.ir/proton-neutron-quark-structure/,DefinedTerm
35,نوترون,نوترون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,نوترون چیست؟ ذره مرکب و بدون بار خالص در هسته اتم است که از کوارک‌ها و گلوئون‌ها تشکیل می‌شود. مثال روزمره و مرز تمثیل را ببینید.,4,243,ذرات و نیروها,https://qpedia.ir/proton-neutron-quark-structure/,DefinedTerm
36,نوترینو,نوترینو چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,نوترینو چیست؟ ذره بنیادی بسیار سبک و بدون بار است که برهم‌کنش بسیار ضعیفی با ماده دارد. مثال روزمره و مرز تمثیل را ببینید.,4,233,ذرات و نیروها,https://qpedia.ir/neutrino/,DefinedTerm
37,کوارک,کوارک چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,کوارک چیست؟ ذره بنیادی سازنده هادرون‌هایی مانند پروتون و نوترون است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,223,ذرات و نیروها,https://qpedia.ir/quark/,DefinedTerm
38,گلوئون,گلوئون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,گلوئون چیست؟ بوزون حامل نیروی هسته‌ای قوی میان کوارک‌ها است. تعریف کامل‌تر، مثال روزمره و کاربرد آن را در واژه‌نامهٔ کوانتوم Qpedia بخوانید.,4,227,ذرات و نیروها,https://qpedia.ir/gluon-w-z-bosons/,DefinedTerm
39,بوزون,بوزون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,بوزون چیست؟ ذره‌ای با اسپین صحیح است که می‌تواند همراه بوزون‌های دیگر حالت کوانتومی یکسانی داشته باشد. مثال آن را ببینید.,4,234,ذرات و نیروها,https://qpedia.ir/gluon-w-z-bosons/,DefinedTerm
40,فرمیون,فرمیون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,فرمیون چیست؟ ذره‌ای با اسپین نیمه‌صحیح است که از اصل طرد پاولی پیروی می‌کند. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,250,مفاهیم پایه,https://qpedia.ir/pauli-exclusion-principle/,DefinedTerm
41,بوزون هیگز,بوزون هیگز چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,بوزون هیگز چیست؟ ذره کوانتومی میدان هیگز است که با سازوکار جرم‌گیری بعضی ذرات بنیادی ارتباط دارد. مثال روزمره و مرز تمثیل را ببینید.,4,243,ذرات و نیروها,https://qpedia.ir/higgs-boson/,DefinedTerm
42,پادماده,پادماده چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,پادماده چیست؟ ماده‌ای ساخته‌شده از پادذره‌ها است که بارهای کوانتومی مخالف همتای ماده خود دارند. مثال روزمره و مرز تمثیل را ببینید.,4,230,ذرات و نیروها,https://qpedia.ir/antimatter/,DefinedTerm
43,نابودی ماده و پادماده,نابودی ماده و پادماده چیست؟ تعریف ساده، مثال و کاربرد,نابودی ماده و پادماده چیست؟ فرایندی است که در آن ذره و پادذره به ذرات دیگری مانند فوتون تبدیل می‌شوند. مثال آن را ببینید.,4,254,زیست و پزشکی,https://qpedia.ir/pet-scan-antimatter/,DefinedTerm
44,مدل استاندارد,مدل استاندارد چیست؟ تعریف ساده، مثال و کاربردهای مهم,مدل استاندارد چیست؟ نظریه پذیرفته‌شده ذرات بنیادی و سه نیروی غیرگرانشی طبیعت است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,236,ذرات و نیروها,https://qpedia.ir/standard-model/,DefinedTerm
45,نیروی الکترومغناطیسی,نیروی الکترومغناطیسی چیست؟ تعریف ساده، مثال و کاربرد,نیروی الکترومغناطیسی چیست؟ برهم‌کنشی میان ذرات باردار است که با میدان الکترومغناطیسی و فوتون توصیف می‌شود. مثال آن را ببینید.,4,251,ذرات و نیروها,https://qpedia.ir/quantum-electrodynamics/,DefinedTerm
46,نیروی هسته‌ای قوی,نیروی هسته‌ای قوی چیست؟ تعریف ساده، مثال و کاربردهای مهم,نیروی هسته‌ای قوی چیست؟ برهم‌کنشی است که کوارک‌ها را در هادرون‌ها و به‌طور مؤثر هسته‌ها را کنار هم نگه می‌دارد. مثال آن را ببینید.,4,251,ذرات و نیروها,https://qpedia.ir/gluon-w-z-bosons/,DefinedTerm
47,نیروی هسته‌ای ضعیف,نیروی هسته‌ای ضعیف چیست؟ تعریف ساده، مثال و کاربردهای مهم,نیروی هسته‌ای ضعیف چیست؟ برهم‌کنشی بنیادی است که در فرایندهایی مانند واپاشی بتا نقش دارد. مثال روزمره و مرز تمثیل را ببینید.,4,243,ذرات و نیروها,https://qpedia.ir/neutrino/,DefinedTerm
48,نظریه میدان کوانتومی,نظریه میدان کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,نظریه میدان کوانتومی چیست؟ چارچوبی است که ذرات را برانگیزش‌های کوانتومی میدان‌های بنیادی توصیف می‌کند. مثال آن را ببینید.,4,250,ذرات و نیروها,https://qpedia.ir/quantum-electrodynamics/,DefinedTerm
49,الکترودینامیک کوانتومی,الکترودینامیک کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,الکترودینامیک کوانتومی چیست؟ نظریه میدان کوانتومی برهم‌کنش نور و ذرات باردار است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,243,ذرات و نیروها,https://qpedia.ir/quantum-electrodynamics/,DefinedTerm
50,خلأ کوانتومی,خلأ کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,خلأ کوانتومی چیست؟ کم‌انرژی‌ترین حالت میدان‌های کوانتومی است و به معنی نبود کامل میدان و ساختار نیست. مثال آن را ببینید.,4,247,مفاهیم پایه,https://qpedia.ir/vacuum-fluctuations/,DefinedTerm
51,افت‌وخیز کوانتومی,افت‌وخیز کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,افت‌وخیز کوانتومی چیست؟ پراکندگی اجتناب‌ناپذیر نتیجه‌های کمیت‌های کوانتومی در یک حالت مشخص است. مثال روزمره و مرز تمثیل را ببینید.,4,243,کیهان کوانتومی,https://qpedia.ir/quantum-fluctuations-cosmos/,DefinedTerm
52,انرژی نقطه صفر,انرژی نقطه صفر چیست؟ تعریف ساده، مثال و کاربردهای مهم,انرژی نقطه صفر چیست؟ انرژی باقی‌مانده یک سامانه کوانتومی در حالت پایه آن است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,255,تاریخ و جامعه,https://qpedia.ir/zero-point-energy-scam/,DefinedTerm
53,اثر کازیمیر,اثر کازیمیر چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,اثر کازیمیر چیست؟ نیرویی وابسته به شرایط مرزی میدان‌های کوانتومی میان اجسام نزدیک است. مثال روزمره و مرز تمثیل را ببینید.,4,250,مفاهیم پایه,https://qpedia.ir/casimir-effect/,DefinedTerm
54,ذره مجازی,ذره مجازی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,ذره مجازی چیست؟ جزئی از بسط محاسباتی نظریه میدان است و ذره آزاد قابل آشکارسازی مستقیم محسوب نمی‌شود. کاربرد آن را بخوانید.,4,250,مفاهیم پایه,https://qpedia.ir/virtual-particles/,DefinedTerm
55,ثابت پلانک,ثابت پلانک چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,ثابت پلانک چیست؟ ثابت بنیادی‌ای است که مقیاس اثرهای کوانتومی و رابطه انرژی با بسامد را تعیین می‌کند. کاربرد آن را بخوانید.,4,257,مفاهیم پایه,https://qpedia.ir/planck-constant/,DefinedTerm
56,طول موج دوبروی,طول موج دوبروی چیست؟ تعریف ساده، مثال و کاربردهای مهم,طول موج دوبروی چیست؟ طول موجی است که بر پایه تکانه به یک ذره مادی نسبت داده می‌شود. تعریف کامل آن در واژه‌نامه آمده است.,4,264,مفاهیم پایه,https://qpedia.ir/wave-particle-duality/,DefinedTerm
57,آزمایش دو شکاف,آزمایش دو شکاف چیست؟ تعریف ساده، مثال و کاربردهای مهم,آزمایش دو شکاف چیست؟ آزمایشی است که تداخل و نقش اطلاعات مسیر را برای نور و ذرات نشان می‌دهد. مثال روزمره و مرز تمثیل را ببینید.,4,265,مفاهیم پایه,https://qpedia.ir/double-slit-experiment/,DefinedTerm
58,نامساوی بل,نامساوی بل چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,نامساوی بل چیست؟ کرانی آماری است که خانواده‌ای از نظریه‌های متغیر پنهان موضعی باید رعایت کنند. مثال روزمره و مرز تمثیل را ببینید.,4,250,مفاهیم پایه,https://qpedia.ir/bell-inequality/,DefinedTerm
59,آزمون بل,آزمون بل چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,آزمون بل چیست؟ آزمایشی برای سنجش نامساوی بل با استفاده از سامانه‌های درهم‌تنیده است. تعریف کامل آن در واژه‌نامه آمده است.,4,245,تاریخ و جامعه,https://qpedia.ir/bell-experiments/,DefinedTerm
60,متغیر پنهان,متغیر پنهان چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,متغیر پنهان چیست؟ کمیت فرضی افزوده‌ای است که قرار است نتیجه‌های کوانتومی را با اطلاعات کامل‌تر توضیح دهد. مثال آن را ببینید.,4,236,فلسفه کوانتوم,https://qpedia.ir/pilot-wave/,DefinedTerm
61,واقع‌گرایی موضعی,واقع‌گرایی موضعی چیست؟ تعریف ساده، مثال و کاربردهای مهم,واقع‌گرایی موضعی چیست؟ ترکیبی از فرض ویژگی‌های مستقل از اندازه‌گیری و نبود اثر علّی سریع‌تر از نور است. مثال آن را ببینید.,4,252,تاریخ و جامعه,https://qpedia.ir/bell-experiments/,DefinedTerm
62,تفسیر کپنهاگی,تفسیر کپنهاگی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تفسیر کپنهاگی چیست؟ خانواده‌ای از دیدگاه‌ها است که بر پیش‌بینی اندازه‌گیری و نقش توصیف کلاسیک دستگاه تأکید دارد. مثال آن را ببینید.,4,241,فلسفه کوانتوم,https://qpedia.ir/copenhagen-interpretation/,DefinedTerm
63,تفسیر جهان‌های متعدد,تفسیر جهان‌های متعدد چیست؟ تعریف ساده، مثال و کاربرد,تفسیر جهان‌های متعدد چیست؟ تفسیری است که تحول یکانی را همیشگی می‌داند و نتیجه‌های مختلف را در شاخه‌های متفاوت توصیف می‌کند.,4,247,فلسفه کوانتوم,https://qpedia.ir/many-worlds-interpretation/,DefinedTerm
64,پارادوکس EPR,پارادوکس EPR چیست؟ تعریف ساده، مثال و کاربردهای مهم,پارادوکس EPR چیست؟ آزمایش فکری اینشتین، پودولسکی و روزن درباره کامل‌بودن مکانیک کوانتومی و هم‌بستگی دوردست است. مثال آن را ببینید.,4,246,تاریخ و جامعه,https://qpedia.ir/epr-paradox/,DefinedTerm
65,گربه شرودینگر,گربه شرودینگر چیست؟ تعریف ساده، مثال و کاربردهای مهم,گربه شرودینگر چیست؟ آزمایش فکری‌ای است که مسئله تعمیم برهم‌نهی و اندازه‌گیری به اجسام بزرگ را برجسته می‌کند. مثال آن را ببینید.,4,238,فلسفه کوانتوم,https://qpedia.ir/schrodinger-cat/,DefinedTerm
66,دوست ویگنر,دوست ویگنر چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,دوست ویگنر چیست؟ آزمایش فکری‌ای است که سازگاری توصیف اندازه‌گیری از دید دو ناظر را بررسی می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,236,فلسفه کوانتوم,https://qpedia.ir/wigner-friend/,DefinedTerm
67,کیوبیت,کیوبیت چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,کیوبیت چیست؟ واحد اطلاعات کوانتومی است که می‌تواند در برهم‌نهی حالت‌های پایه صفر و یک قرار گیرد. مثال روزمره و مرز تمثیل را ببینید.,4,246,رایانش کوانتومی,https://qpedia.ir/qubit/,DefinedTerm
68,کیوبیت فیزیکی,کیوبیت فیزیکی چیست؟ تعریف ساده، مثال و کاربردهای مهم,کیوبیت فیزیکی چیست؟ سامانه سخت‌افزاری واقعی و خطاپذیری است که یک کیوبیت را پیاده‌سازی می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,249,رایانش کوانتومی,https://qpedia.ir/ibm-condor-processor/,DefinedTerm
69,کیوبیت منطقی,کیوبیت منطقی چیست؟ تعریف ساده، مثال و کاربردهای مهم,کیوبیت منطقی چیست؟ اطلاعات کوانتومی رمزگذاری‌شده در چند کیوبیت فیزیکی برای کاهش خطا است. مثال روزمره و مرز تمثیل را ببینید.,4,242,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
70,گیت کوانتومی,گیت کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,گیت کوانتومی چیست؟ عملیات کنترل‌شده‌ای است که حالت یک یا چند کیوبیت را به‌صورت یکانی تغییر می‌دهد. کاربرد آن را بخوانید.,4,246,رایانش کوانتومی,https://qpedia.ir/quantum-gate/,DefinedTerm
71,مدار کوانتومی,مدار کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,مدار کوانتومی چیست؟ دنباله‌ای سازمان‌یافته از آماده‌سازی، گیت‌ها و اندازه‌گیری‌های کوانتومی است. مثال روزمره و مرز تمثیل را ببینید.,4,245,رایانش کوانتومی,https://qpedia.ir/quantum-gate/,DefinedTerm
72,الگوریتم کوانتومی,الگوریتم کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,الگوریتم کوانتومی چیست؟ روش محاسباتی‌ای است که از ویژگی‌هایی مانند برهم‌نهی و تداخل برای حل مسئله استفاده می‌کند. مثال آن را ببینید.,4,244,رایانش کوانتومی,https://qpedia.ir/shor-algorithm/,DefinedTerm
73,تصحیح خطای کوانتومی,تصحیح خطای کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تصحیح خطای کوانتومی چیست؟ رمزگذاری اطلاعات در چند کیوبیت برای آشکارسازی و اصلاح خطا بدون خواندن مستقیم محتوای منطقی است.,4,255,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
74,کاهش خطای کوانتومی,کاهش خطای کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,کاهش خطای کوانتومی چیست؟ مجموعه روش‌هایی برای تخمین نتیجه کم‌نویزتر بدون تصحیح کامل خطا هنگام اجرای مدار است. مثال آن را ببینید.,4,258,رایانش کوانتومی,https://qpedia.ir/topological-quantum-computing/,DefinedTerm
75,رایانش تحمل‌پذیر در برابر خطا,رایانش تحمل‌پذیر در برابر خطا چیست؟ تعریف ساده و کاربرد,رایانش تحمل‌پذیر در برابر خطا چیست؟ رایانش کوانتومی با کیوبیت‌های منطقی و کنترل خطا در طول محاسبات بزرگ است. مثال آن را ببینید.,4,270,رایانش کوانتومی,https://qpedia.ir/topological-quantum-computing/,DefinedTerm
76,عصر NISQ,عصر NISQ چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,عصر NISQ چیست؟ دوره دستگاه‌های کوانتومی میان‌مقیاس و نویزی بدون تصحیح خطای کامل است. تعریف کامل آن در واژه‌نامه آمده است.,4,246,رایانش کوانتومی,https://qpedia.ir/nisq-era/,DefinedTerm
77,برتری کوانتومی,برتری کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,برتری کوانتومی چیست؟ نمایش انجام یک کار محاسباتی مشخص با دستگاه کوانتومی فراتر از روش کلاسیک مقایسه‌شده است. مثال آن را ببینید.,4,249,رایانش کوانتومی,https://qpedia.ir/quantum-supremacy/,DefinedTerm
