article_number,source_id,slug,filename,alt_fa,dimensions
58,8415,quantum-heat-engine,quantum-heat-engine.webp,موتور گرمایی کوانتومی,1200×675
59,8416,quantum-refrigerator,quantum-refrigerator.webp,یخچال کوانتومی,1200×675
60,8417,quantum-maxwell-demon,quantum-maxwell-demon.webp,دیو ماکسول کوانتومی,1200×675
61,8418,quantum-entropy,quantum-entropy.webp,آنتروپی کوانتومی,1200×675
62,8419,quantum-thermalization,quantum-thermalization.webp,گرمایی‌شدن کوانتومی,1200×675
63,8420,many-body-localization,many-body-localization.webp,جایگزیدگی چندجسمی,1200×675
64,8421,eigenstate-thermalization,eigenstate-thermalization.webp,فرضیه گرمایی‌شدن حالت ویژه,1200×675
65,8422,quantum-fluctuation-theorem,quantum-fluctuation-theorem.webp,قضیه نوسان کوانتومی,1200×675
66,8423,quantum-thermometry,quantum-thermometry.webp,دماسنجی کوانتومی,1200×675
68,8424,quantum-cell-signaling,quantum-cell-signaling.webp,پیام‌رسانی سلولی کوانتومی,1200×675
69,8425,quantum-anesthesia,quantum-anesthesia.webp,بیهوشی و فرضیه‌های کوانتومی,1200×675
70,8426,quantum-cancer,quantum-cancer.webp,کوانتوم در پژوهش سرطان,1200×675
71,8440,quantum-bacteria,quantum-bacteria.webp,کوانتوم در باکتری‌ها,1200×675
73,8441,ghz-state,ghz-state.webp,حالت درهم‌تنیده GHZ,1200×675
74,8442,hardy-paradox,hardy-paradox.webp,چیدمان پارادوکس هاردی,1200×675
75,8443,quantum-contextuality,quantum-contextuality.webp,زمینه‌مندی کوانتومی,1200×675
76,8444,quantum-cheshire-cat,quantum-cheshire-cat.webp,گربه چشایر کوانتومی,1200×675
77,8446,three-box-paradox,three-box-paradox.webp,پارادوکس سه جعبه,1200×675
78,8445,quantum-logic,quantum-logic.webp,منطق کوانتومی و مدار منطقی,1200×675
79,8447,quantum-probability,quantum-probability.webp,احتمال کوانتومی,1200×675
80,8448,acceleration-radiation,acceleration-radiation.webp,اثر شتاب و تابش اونرو,1200×675
81,8449,anomalous-magnetic-moment,anomalous-magnetic-moment.webp,گشتاور مغناطیسی ناهنجار,1200×675
82,8450,fine-structure-constant,fine-structure-constant.webp,ثابت ساختار ریز,1200×675
83,8451,quantum-electrodynamics,quantum-electrodynamics.webp,الکترودینامیک کوانتومی,1200×675
84,8452,quantum-chromodynamics,quantum-chromodynamics.webp,کرومودینامیک کوانتومی,1200×675
85,8453,electroweak-theory,electroweak-theory.webp,نظریه الکتروضعیف,1200×675
86,8454,proton-decay,proton-decay.webp,واپاشی پروتون,1200×675
87,8455,axion,axion.webp,اکسیون,1200×675
88,8456,wimp,wimp.webp,ذره فرضی ویمپ,1200×675
89,8457,dark-energy-quantum,dark-energy-quantum.webp,انرژی تاریک کوانتومی,1200×675
90,8458,cosmic-inflation,cosmic-inflation.webp,تورم کیهانی,1200×675
