source_file,slug,filename,title_fa,alt_fa,dimensions,size_kb
1000098972.jpg,complementarity-principle,complementarity-principle.webp,اصل مکملیت,تصویر شاخص اصل مکملیت نیلز بور در فیزیک کوانتوم,1200x675,35.0 KB
1000098973.jpg,observer,observer.webp,ناظر در کوانتوم,تصویر شاخص اثر ناظر و اندازه‌گیری در فیزیک کوانتومی,1200x675,29.3 KB
1000098975.jpg,quantum-number,quantum-number.webp,عدد کوانتومی,تصویر شاخص اعداد کوانتومی الکترون در اتم,1200x675,40.2 KB
1000098976.jpg,coin-vs-dice-quantum-uncertainty,coin-vs-dice-quantum-uncertainty.webp,تمثیل تاس در مقابل تمثیل سکه,تصویر شاخص تمثیل تاس و سکه در عدم قطعیت کوانتومی,1200x675,47.2 KB
1000098977.jpg,quantum-physics-vs-quantum-mechanics,quantum-physics-vs-quantum-mechanics.webp,فیزیک کوانتوم و مکانیک کوانتومی,تصویر شاخص تفاوت فیزیک کوانتوم و مکانیک کوانتومی,1200x675,54.4 KB
1000098978.jpg,quantum-analogy-exercise-boundary,quantum-analogy-exercise-boundary.webp,نیلز بور و اصل تکمیل,تصویر شاخص نیلز بور، اصل تکمیل و مرز شکست تمثیل,1200x675,40.7 KB
1000098979.jpg,determinism-vs-probability,determinism-vs-probability.webp,جبرگرایی کلاسیک و احتمال کوانتومی,تصویر شاخص جبرگرایی نیوتنی در برابر احتمال کوانتومی,1200x675,55.7 KB
1000098980.jpg,why-large-objects-dont-superpose,why-large-objects-dont-superpose.webp,برهم‌نهی اشیای بزرگ,تصویر شاخص علت عدم مشاهده برهم‌نهی در اشیای بزرگ,1200x675,49.3 KB
1000098981.jpg,heisenberg-uncertainty-principle,heisenberg-uncertainty-principle.webp,اصل عدم قطعیت هایزنبرگ,تصویر شاخص اصل عدم قطعیت هایزنبرگ در مکان و تکانه,1200x675,34.3 KB
1000098982.jpg,is-classical-physics-wrong,is-classical-physics-wrong.webp,آیا فیزیک کلاسیک اشتباه بود؟,تصویر شاخص حد کلاسیک و رابطه فیزیک نیوتنی با کوانتوم,1200x675,63.1 KB
1000098983.jpg,pauli-exclusion-principle,pauli-exclusion-principle.webp,اصل طرد پاولی,تصویر شاخص اصل طرد پاولی و آرایش الکترون‌ها,1200x675,23.8 KB
1000098984.jpg,quantum-interpretation-debate,quantum-interpretation-debate.webp,ماکس بورن و تفسیر احتمالاتی,تصویر شاخص ماکس بورن و جدال تفاسیر کوانتومی,1200x675,31.9 KB
1000098985.jpg,aharonov-bohm-effect,aharonov-bohm-effect.webp,اثر آهارونوف-بوهم,تصویر شاخص اثر آهارونوف-بوهم و پتانسیل الکترومغناطیسی,1200x675,40.2 KB
1000098986.jpg,quantum-random-number-generator,quantum-random-number-generator.webp,مولد عدد تصادفی کوانتومی,تصویر شاخص تولید اعداد تصادفی واقعی با کوانتوم,1200x675,34.7 KB
1000098987.jpg,cosmic-inflation,cosmic-inflation.webp,تورم کیهانی,تصویر شاخص نظریه تورم کیهانی در کیهان‌شناسی آغازین,1200x675,45.4 KB
1000098988.jpg,cosmic-microwave-background,cosmic-microwave-background.webp,تابش زمینه کیهانی,تصویر شاخص تابش پس‌زمینه کیهانی CMB از انفجار بزرگ,1200x675,53.5 KB
1000098989.jpg,wormhole,wormhole.webp,کرم‌چاله,تصویر شاخص ساختار نظری کرم‌چاله و پل اینشتین-روزن,1200x675,51.2 KB
1000098990.jpg,quantum-bounce,quantum-bounce.webp,جهش کوانتومی کیهان,تصویر شاخص نظریه جهش کوانتومی کیهان قبل از مهبانگ,1200x675,64.2 KB
1000099001.jpg,quantum-culture,quantum-culture.webp,فرهنگ کوانتومی,تصویر شاخص بازتاب مفاهیم کوانتومی در فرهنگ و هنر جامعه,1200x675,28.6 KB
1000099002.jpg,quantum-winter,quantum-winter.webp,زمستان کوانتومی,تصویر شاخص زمستان کوانتومی و چرخه‌های افت سرمایه‌گذاری,1200x675,37.9 KB
1000099003.jpg,copenhagen-interpretation,copenhagen-interpretation.webp,تفسیر کپنهاگی,تصویر شاخص تفسیر کپنهاگی از مکانیک کوانتومی,1200x675,30.0 KB
1000099004.jpg,is-many-worlds-real,is-many-worlds-real.webp,جهان‌های موازی,تصویر شاخص تفسیر چندجهانی اورت و انشعاب واقعیت‌ها,1200x675,39.2 KB
1000099005.jpg,does-quantum-prove-god,does-quantum-prove-god.webp,کوانتوم و خدا,تصویر شاخص بررسی نسبت فیزیک کوانتوم و مباحث فلسفی,1200x675,42.4 KB
1000099006.jpg,holographic-principle,holographic-principle.webp,اصل هولوگرافیک,تصویر شاخص اصل هولوگرافیک در گرانش کوانتومی و افق سیاه‌چاله,1200x675,43.1 KB
1000099007.jpg,quantum-darwinism,quantum-darwinism.webp,داروینیسم کوانتومی,تصویر شاخص نظریه داروینیسم کوانتومی زورک,1200x675,48.2 KB
1000099008.jpg,quantum-free-will,quantum-free-will.webp,کوانتوم و اراده آزاد,تصویر شاخص فیزیک کوانتومی و مسئله اراده آزاد و آگاهی,1200x675,45.6 KB
1000099009.jpg,quantum-time-travel,quantum-time-travel.webp,سفر در زمان,تصویر شاخص سفر در زمان از منظر فیزیک کوانتوم و نسبیت,1200x675,45.1 KB
1000099010.jpg,wigner-friend,wigner-friend.webp,دوست ویگنر,تصویر شاخص پارادوکس دوست ویگنر و مسئله ناظر,1200x675,46.3 KB
